"","1","2","3","4","5","6","togetherness"
"CEN",0,0,40,4,1,0,88.9
"COM",31,0,0,0,0,0,100
"DRO",0,0,45,131,0,0,74.4
"ECO",0,0,11,0,0,1,91.7
"RAD",2,0,3,0,18,1,75
"SE",0,0,1,6,0,0,85.7
"SOC",2,62,3,0,0,92,57.9
