"","1","2","3","4","5","togetherness"
"CEN",1,36,65,0,2,62.5
"COM",0,0,0,17,4,81
"DRO",108,23,6,0,0,78.8
"RAD",3,19,3,0,5,63.3
"SE",2,7,0,0,0,77.8
"SOC",0,0,0,0,82,100
