"","1","2","3","4","togetherness"
"CEN",0,2,26,9,70.3
"COM",0,24,0,0,100
"DRO",1,5,6,347,96.7
"ECO",0,1,0,0,100
"SE",0,0,2,7,77.8
"SOC",205,15,2,1,91.9
