"","1","2","3","4","5","togetherness"
"CEN",40,0,33,1,0,54.1
"COM",0,27,0,0,3,90
"DRO",162,0,34,0,0,82.7
"ECO",0,0,0,0,1,100
"RAD",9,0,15,2,4,50
"SE",7,0,6,0,0,53.8
"SOC",0,0,1,17,87,82.9
