"","1","2","3","4","5","togetherness"
"CEN",0,3,1,3,37,84.1
"COM",29,0,0,1,0,96.7
"DRO",0,199,3,0,4,96.6
"ECO",0,0,0,2,0,100
"RAD",1,2,12,4,8,44.4
"SE",0,3,4,0,0,57.1
"SOC",0,0,0,103,1,99
