"","1","2","3","4","5","togetherness"
"CEN",0,21,0,75,0,78.1
"COM",3,0,0,0,15,83.3
"DRO",0,54,0,13,0,80.6
"RAD",3,9,1,10,0,43.5
"SE",0,1,0,2,0,66.7
"SOC",50,0,0,0,0,100
