"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"RICHARD MALLIE",302,"RICHARD MALLIE",17.3781471969828,"ARNAUD MONTEBOURG",1,"ALAIN MOYNE BRESSAND",1
2,"MARC FUR",255,"MARC FUR",15.9687194226713,"JEAN GLAVANY",1,"BEATRICE PAVY",1
3,"MURIEL MARLAND MILITELLO",217,"MURIEL MARLAND MILITELLO",14.7309198626562,"ABDOULATIFOU ALY",1,"BERNARD PERRUT",1
4,"JEAN PIERRE DECOOL",216,"JEAN PIERRE DECOOL",14.6969384566991,"ALAIN CACHEUX",1,"DIDIER QUENTIN",1
5,"YANICK PATERNOTTE",213,"YANICK PATERNOTTE",14.5945195193264,"ALAIN CLAEYS",1,"DOMINIQUE BUSSEREAU",1
6,"LIONNEL LUCA",195,"LIONNEL LUCA",13.9642400437689,"ALAIN JOYANDET",1,"DOMINIQUE DORD",1
7,"JACQUES REMILLER",184,"JACQUES REMILLER",13.5646599662505,"ALAIN MOYNE BRESSAND",1,"DOMINIQUE PERBEN",1
8,"MARIE JO ZIMMERMANN",176,"MARIE JO ZIMMERMANN",13.2664991614216,"ALAIN NERI",1,"ETIENNE BLANC",1
9,"MICHEL PIRON",170,"MICHEL PIRON",13.0384048104053,"ALAIN ROUSSET",1,"JACQUES GUEN",1
10,"FRANCOIS BROTTES",162,"FRANCOIS BROTTES",12.7279220613579,"ALAIN SUGUENOT",1,"JACQUES LAMBLIN",1
11,"BERNARD REYNES",161,"BERNARD REYNES",12.6885775404495,"ALAIN VIDALIES",1,"JEAN FRANCOIS COPE",1
12,"CHRISTIAN ESTROSI",159,"CHRISTIAN ESTROSI",12.6095202129185,"ALFRED ALMONT",1,"JEAN PAUL ANCIAUX",1
13,"ELIE ABOUD",157,"ELIE ABOUD",12.5299640861417,"ANDRE CHASSAIGNE",1,"JEAN PIERRE ABELIN",1
14,"DOMINIQUE TIAN",155,"DOMINIQUE TIAN",12.4498995979887,"ANDRE FLAJOLET",1,"JEAN PIERRE DOOR",1
15,"GERARD BAPT",152,"GERARD BAPT",12.328828005938,"ANDRE SCHNEIDER",1,"JEAN PIERRE DUPONT",1
16,"PATRICK BEAUDOUIN",150,"PATRICK BEAUDOUIN",12.2474487139159,"ANDRE WOJCIECHOWSKI",1,"JEAN PIERRE SCHOSTECK",1
17,"CHRISTIAN ECKERT",150,"CHRISTIAN ECKERT",12.2471620730238,"ANNE GROMMERCH",1,"MARC PHILIPPE DAUBRESSE",1
18,"BERNARD DEPIERRE",149,"BERNARD DEPIERRE",12.2065556157337,"ANNICK LOCH",1,"MARIE HELENE DES ESGAULX",1
19,"BERNARD CARAYON",142,"BERNARD CARAYON",11.916375287813,"ANNY POURSINOFF",1,"MICHEL HAVARD",1
20,"VALERIE BOYER",134,"VALERIE BOYER",11.5758369027902,"ANTOINE HERTH",1,"MICHEL LEJEUNE",1
21,"LAURE LA RAUDIERE",133,"LAURE LA RAUDIERE",11.5325625946708,"ARLETTE GROSSKOST",1,"OLIVIER DASSAULT",1
22,"JEAN YVES BOUILLONNEC",131,"JEAN YVES BOUILLONNEC",11.4455231422596,"ARMAND JUNG",1,"RENE COUANAU",1
23,"MICHEL RAISON",131,"MICHEL RAISON",11.4455231422596,"ARNAUD ROBINET",1,"ROBERT LECOU",1
24,"LIONEL TARDY",127,"LIONEL TARDY",11.2694276695846,"AURELIE FILIPPETTI",1,"XAVIER BERTRAND",1
25,"LOUIS GISCARD ESTAING",127,"LOUIS GISCARD ESTAING",11.2694276695846,"BEATRICE PAVY",1,"BRUNO SANDRAS",0.707106781186548
26,"GEORGES COLOMBIER",126,"GEORGES COLOMBIER",11.2249721603218,"BENOIST APPARU",1,"CECILE GALLEZ",0.707106781186548
27,"SEBASTIEN HUYGHE",126,"SEBASTIEN HUYGHE",11.2249721603218,"BERENGERE POLETTI",1,"CHANTAL BRUNEL",0.707106781186548
28,"VICTORIN LUREL",124,"VICTORIN LUREL",11.1345960627558,"BERNARD CARAYON",1,"CHRISTIAN BATAILLE",0.707106781186548
29,"BRUNO ROUX",121,"BRUNO ROUX",11,"BERNARD CAZENEUVE",1,"ERIC RAOULT",0.707106781186548
30,"FRANCOIS PUPPONI",120,"FRANCOIS PUPPONI",10.9544511501033,"BERNARD DEBRE",1,"FRANCOIS CORNUT GENTILLE",0.707106781186548
31,"GERMINAL PEIRO",120,"GERMINAL PEIRO",10.9544511501033,"BERNARD DEFLESSELLES",1,"FRANCOIS GROSDIDIER",0.707106781186548
32,"JEAN GAUBERT",120,"JEAN GAUBERT",10.9544511501033,"BERNARD DEPIERRE",1,"GEORGES TRON",0.707106781186548
33,"PATRICK BLOCHE",118,"PATRICK BLOCHE",10.8627804912002,"BERNARD DEROSIER",1,"GERARD VOISIN",0.707106781186548
34,"CHARLES COURSON",117,"CHARLES COURSON",10.816653826392,"BERNARD GERARD",1,"GISELE BIEMOURET",0.707106781186548
35,"CLAUDE BODIN",117,"CLAUDE BODIN",10.816653826392,"BERNARD LESTERLIN",1,"JEAN CLAUDE PEREZ",0.707106781186548
36,"MARISOL TOURAINE",115,"MARISOL TOURAINE",10.7238052947636,"BERNARD PERRUT",1,"JEAN MICHEL COUVE",0.707106781186548
37,"PHILIPPE COCHET",115,"PHILIPPE COCHET",10.7238052947636,"BERNARD REYNES",1,"JEAN PIERRE DUFAU",0.707106781186548
38,"ANNICK LEPETIT",113,"ANNICK LEPETIT",10.6301458127346,"BERNARD ROMAN",1,"MICHEL BUILLARD",0.707106781186548
39,"CHRISTOPHE CARESCHE",112,"CHRISTOPHE CARESCHE",10.5830052442584,"BRIGITTE BAREGES",1,"PIERRE MORANGE",0.707106781186548
40,"SANDRINE MAZETIER",110,"SANDRINE MAZETIER",10.4880884817015,"BRUNO BOURG BROC",1,"SAUVEUR GANDOLFI SCHEIT",0.707106781186548
41,"CORINNE ERHEL",110,"CORINNE ERHEL",10.4880884817015,"BRUNO SANDRAS",1,"ANNY POURSINOFF",0.577350269189626
42,"MARIETTA KARAMANLI",109,"MARIETTA KARAMANLI",10.4403065089106,"CAMILLE ROCCA SERRA",1,"BERNARD DEFLESSELLES",0.577350269189626
43,"ALAIN VIDALIES",108,"ALAIN VIDALIES",10.3923048454133,"CATHERINE COUTELLE",1,"FREDERIC CUVILLIER",0.577350269189626
44,"CATHERINE LEMORTON",108,"CATHERINE LEMORTON",10.3923048454133,"CATHERINE GENISSON",1,"GEORGES FENECH",0.577350269189626
45,"MARYLISE LEBRANCHU",108,"MARYLISE LEBRANCHU",10.3923048454133,"CATHERINE LEMORTON",1,"JEAN CHARLES TAUGOURDEAU",0.577350269189626
46,"YVES CENSI",107,"YVES CENSI",10.3440804327886,"CATHERINE QUERE",1,"JEAN FRANCOIS MANCEL",0.577350269189626
47,"SERGE LETCHIMY",106,"SERGE LETCHIMY",10.295630140987,"CATHERINE VAUTRIN",1,"JEAN JACQUES GAULTIER",0.577350269189626
48,"BERNARD DEROSIER",104,"BERNARD DEROSIER",10.1980390271856,"CECILE DUMOULIN",1,"LAURENCE DUMONT",0.577350269189626
49,"PIERRE ALAIN MUET",103,"PIERRE ALAIN MUET",10.1488915650922,"CECILE GALLEZ",1,"MICHEL VERGNIER",0.577350269189626
50,"JEAN CLAUDE BOUCHET",102,"JEAN CLAUDE BOUCHET",10.0995049383621,"CHANTAL BERTHELOT",1,"OLIVIER DUSSOPT",0.577350269189626
51,"YVES VANDEWALLE",101,"YVES VANDEWALLE",10.0498756211209,"CHANTAL BRUNEL",1,"BERNARD ACCOYER",0.577350269189626
52,"ERIC CIOTTI",100,"ERIC CIOTTI",10,"CHARLES ANGE GINESY",1,"ABDOULATIFOU ALY",0.5
53,"PHILIPPE GOUJON",100,"PHILIPPE GOUJON",10,"CHARLES COURSON",1,"ANDRE SCHNEIDER",0.5
54,"DANIEL FASQUELLE",99,"DANIEL FASQUELLE",9.9498743710662,"CHARLES LA VERPILLIERE",1,"BRUNO BOURG BROC",0.5
55,"DANIEL GOLDBERG",99,"DANIEL GOLDBERG",9.9498743710662,"CHRISTIAN BATAILLE",1,"CHRISTIAN KERT",0.5
56,"ROLAND BLUM",98,"ROLAND BLUM",9.89949493661167,"CHRISTIAN BLANC",1,"DINO CINIERI",0.5
57,"HENRI NAYROU",97,"HENRI NAYROU",9.8488578017961,"CHRISTIAN ESTROSI",1,"GERARD MENUEL",0.5
58,"BERNARD GERARD",96,"BERNARD GERARD",9.79795897113271,"CHRISTIAN HUTIN",1,"JEAN AUCLAIR",0.5
59,"ALAIN ROUSSET",95,"ALAIN ROUSSET",9.74679434480896,"CHRISTIAN JACOB",1,"MANUEL AESCHLIMANN",0.5
60,"JEAN GARRAUD",95,"JEAN GARRAUD",9.74679434480896,"CHRISTIAN KERT",1,"PATRICE DEBRAY",0.5
61,"AURELIE FILIPPETTI",94,"AURELIE FILIPPETTI",9.69535971483266,"CHRISTIAN MENARD",1,"PHILIPPE FOLLIOT",0.5
62,"FLORENCE DELAUNAY",92,"FLORENCE DELAUNAY",9.59166304662544,"CHRISTIAN PAUL",1,"PHILIPPE VUILQUE",0.5
