"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"JEAN CLAUDE GAUDIN",130,"JEAN CLAUDE GAUDIN",11.4017542509914,"JEAN VINCENT PLACE",1,"ALEX TURK",1
2,"JEAN PIERRE SUEUR",111,"JEAN PIERRE SUEUR",10.5356537528527,"ADRIEN GOUTEYRON",1,"ANDRE LARDEUX",1
3,"RICHARD YUNG",103,"RICHARD YUNG",10.1488915650922,"ALAIN ANZIANI",1,"AUGUSTE CAZALET",1
4,"DIDIER GUILLAUME",95,"DIDIER GUILLAUME",9.74679434480896,"ALAIN BERTRAND",1,"CHRISTIAN PONCELET",1
5,"THIERRY REPENTIN",93,"THIERRY REPENTIN",9.64365076099295,"ALAIN CHATILLON",1,"CLAUDE JEANNEROT",1
6,"ALAIN FOUCHE",91,"ALAIN FOUCHE",9.53939201416946,"ALAIN FAUCONNIER",1,"COLETTE MELOT",1
7,"CHRISTIAN CAMBON",89,"CHRISTIAN CAMBON",9.4339811320566,"ALAIN FOUCHE",1,"DOMINIQUE BAILLY",1
8,"MICHELE ANDRE",87,"MICHELE ANDRE",9.32737905308882,"ALAIN GOURNAC",1,"JACQUELINE ALQUIER",1
9,"PIERRE BERNARD REYMOND",81,"PIERRE BERNARD REYMOND",9,"ALAIN LAMBERT",1,"JEAN BESSON",1
10,"ROLAND COURTEAU",81,"ROLAND COURTEAU",9,"ALAIN MILON",1,"JEAN FAURE",1
11,"JACQUES GILLOT",80,"JACQUES GILLOT",8.94427190999916,"ALAIN NERI",1,"JEAN JACQUES HYEST",1
12,"PIERRE YVES COLLOMBAT",80,"PIERRE YVES COLLOMBAT",8.94427190999916,"ALAIN VASSELLE",1,"JEAN LOUIS MASSON",1
13,"BRUNO RETAILLEAU",79,"BRUNO RETAILLEAU",8.88819441731559,"ALBERIC MONTGOLFIER",1,"JEAN PATRICK COURTOIS",1
14,"FRANCOIS PATRIAT",79,"FRANCOIS PATRIAT",8.88819441731559,"ALEX TURK",1,"JEAN PIERRE CANTEGRIT",1
15,"NICOLE BRICQ",79,"NICOLE BRICQ",8.88819441731559,"ALIMA BOUMEDIENE THIERY",1,"JOEL BILLARD",1
16,"JACKY MENN",77,"JACKY MENN",8.77496438739212,"ALINE ARCHIMBAUD",1,"JOSEPH KERGUERIS",1
17,"RAYMOND COUDERC",77,"RAYMOND COUDERC",8.77496438739212,"AMBROISE DUPONT",1,"MARC DAUNIS",1
18,"GERARD CORNU",73,"GERARD CORNU",8.54400374531753,"ANDRE GATTOLIN",1,"MARIE THERESE BRUGUIERE",1
19,"JEAN JACQUES MIRASSOU",73,"JEAN JACQUES MIRASSOU",8.54400374531753,"ANDRE LARDEUX",1,"MICHEL BILLOUT",1
20,"CLAUDE DOMEIZEL",72,"CLAUDE DOMEIZEL",8.48528137423857,"ANDRE REICHARDT",1,"NATHALIE GOULET",1
21,"CLAUDINE LEPAGE",72,"CLAUDINE LEPAGE",8.48528137423857,"ANNE MARIE ESCOFFIER",1,"PHILIPPE DARNICHE",1
22,"CLAUDE BERIT DEBAT",68,"CLAUDE BERIT DEBAT",8.24621125123532,"ANNE MARIE PAYET",1,"YANNICK BODIN",1
23,"GERARD COLLOMB",68,"GERARD COLLOMB",8.24621125123532,"ANNIE DAVID",1,"ANDRE GATTOLIN",0.707106781186548
24,"JEAN BIZET",68,"JEAN BIZET",8.24621125123532,"ANTOINE LEFEVRE",1,"DENIS DETCHEVERRY",0.707106781186548
25,"JEAN LUC FICHET",67,"JEAN LUC FICHET",8.18535277187245,"AUGUSTE CAZALET",1,"JACQUES BERTHOU",0.707106781186548
26,"ALAIN ANZIANI",66,"ALAIN ANZIANI",8.12403840463596,"BARIZA KHIARI",1,"JEAN CLAUDE CARLE",0.707106781186548
27,"CLAIRE LISE CAMPION",66,"CLAIRE LISE CAMPION",8.12403840463596,"BERNADETTE BOURZAI",1,"JEAN FRANCOIS HUMBERT",0.707106781186548
28,"CHRISTIAN DEMUYNCK",65,"CHRISTIAN DEMUYNCK",8.06225774829855,"BERNARD CAZEAU",1,"JOSETTE DURRIEU",0.707106781186548
29,"DANIEL RAOUL",64,"DANIEL RAOUL",8,"BERNARD VERA",1,"JOSIANE MATHON POINAT",0.707106781186548
30,"LOUIS NEGRE",63,"LOUIS NEGRE",7.93725393319377,"BRIGITTE GONTHIER MAURIN",1,"LUCETTE MICHAUX CHEVRY",0.707106781186548
31,"ANTOINE LEFEVRE",62,"ANTOINE LEFEVRE",7.87400787401181,"BRUNO GILLES",1,"MARCEL DENEUX",0.707106781186548
32,"PIERRE HERISSON",61,"PIERRE HERISSON",7.81024967590665,"BRUNO RETAILLEAU",1,"MARIE FRANCE BEAUFILS",0.707106781186548
33,"RENEE NICOUX",61,"RENEE NICOUX",7.81024967590665,"BRUNO SIDO",1,"PATRICE GELARD",0.707106781186548
34,"BERNARD CAZEAU",60,"BERNARD CAZEAU",7.74596669241483,"CAROLINE CAYEUX",1,"ROBERT HUE",0.707106781186548
35,"DOMINIQUE BRAYE",60,"DOMINIQUE BRAYE",7.74596669241483,"CATHERINE DUMAS",1,"THIERRY FOUCAUD",0.707106781186548
36,"ALBERIC MONTGOLFIER",59,"ALBERIC MONTGOLFIER",7.68114574786861,"CATHERINE MORIN DESAILLY",1,"CLAUDE BELOT",0.577350269189626
37,"CATHERINE TASCA",58,"CATHERINE TASCA",7.61577310586391,"CATHERINE PROCACCIA",1,"CLAUDE BIWER",0.577350269189626
38,"JEAN ETIENNE ANTOINETTE",58,"JEAN ETIENNE ANTOINETTE",7.61577310586391,"CATHERINE TASCA",1,"JEAN MARC TODESCHINI",0.577350269189626
39,"JEAN PIERRE BEL",58,"JEAN PIERRE BEL",7.61577310586391,"CATHERINE TROENDLE",1,"PHILIPPE RICHERT",0.577350269189626
40,"BERNADETTE BOURZAI",57,"BERNADETTE BOURZAI",7.54983443527075,"CHARLES GAUTIER",1,"YVES POZZO DI BORGO",0.577350269189626
41,"SERGE LARCHER",56,"SERGE LARCHER",7.48331477354788,"CHARLES REVET",1,"ELIANE ASSASSI",0.5
42,"ROLAND POVINELLI",55,"ROLAND POVINELLI",7.41619848709566,"CHRISTIAN CAMBON",1,"FRANCOIS AUTAIN",0.5
