"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"MICHEL PELCHAT",136,"MICHEL PELCHAT",11.6501419069303,"ADRIEN DURAND",1,"ALAIN LAMASSOURE",1
2,"BERNARD DEBRE",135,"BERNARD DEBRE",11.5920231193696,"ADRIEN ZELLER",1,"BERNARD SCHREINER",1
3,"JEAN PAUL FUCHS",124,"JEAN PAUL FUCHS",11.13552872566,"ALAIN GRIOTTERAY",1,"ELIE HOARAU",1
4,"ROLAND NUNGESSER",124,"ROLAND NUNGESSER",11.1097221354058,"ALAIN LAMASSOURE",1,"LADISLAS PONIATOWSKI",1
5,"JEAN BROCARD",111,"JEAN BROCARD",10.5356537528527,"AMBROISE GUELLEC",1,"MICHEL TERROT",1
6,"PIERRE REMY HOUSSIN",109,"PIERRE REMY HOUSSIN",10.4403065089106,"ANDRE SANTINI",1,"PIERRE MAZEAUD",1
7,"JOSEPH HENRI MAUJOUAN GASSET",99,"JOSEPH HENRI MAUJOUAN GASSET",9.9498743710662,"BERNARD SCHREINER",1,"EMMANUEL AUBERT",0.707106781186548
8,"CHRISTINE BOUTIN",76,"CHRISTINE BOUTIN",8.71779788708135,"BRUNO BOURG BROC",1,"ANDRE SANTINI",0.577350269189626
9,"JEAN DESANLIS",76,"JEAN DESANLIS",8.66100381093248,"BRUNO DURIEUX",1,"BRUNO BOURG BROC",0.447213595499958
10,"JEAN JACQUES JEGOU",73,"JEAN JACQUES JEGOU",8.54400374531753,"CHRISTIAN ESTROSI",1,"JEAN PIERRE DELALANDE",0.333333333333333
11,"MICHEL GIRAUD",67,"MICHEL GIRAUD",8.18535277187245,"CHRISTINE BOUTIN",1,"JEAN PIERRE FOUCHER",0.288675134594813
12,"FRANCOIS GRUSSENMEYER",65,"FRANCOIS GRUSSENMEYER",8.06225774829855,"CLAUDE BIRRAUX",1,"GEORGES CHAVANES",0.277350098112615
13,"MARTINE DAUGREILH",63,"MARTINE DAUGREILH",7.93725393319377,"DENIS JACQUAT",1,"HENRY JEAN BAPTISTE",0.267261241912424
14,"DENIS JACQUAT",58,"DENIS JACQUAT",7.61577310586391,"ELIE HOARAU",1,"ADRIEN DURAND",0.258198889747161
15,"PAUL CHOLLET",58,"PAUL CHOLLET",7.61577310586391,"EMMANUEL AUBERT",1,"RENE COUANAU",0.258198889747161
16,"PIERRE MAUGER",58,"PIERRE MAUGER",7.61577310586391,"FABIEN THIEME",1,"HENRI GASTINES",0.229415733870562
17,"ALAIN GRIOTTERAY",56,"ALAIN GRIOTTERAY",7.48331477354788,"FRANCIS GENG",1,"BRUNO DURIEUX",0.208514414057075
18,"CLAUDE BIRRAUX",55,"CLAUDE BIRRAUX",7.41619848709566,"FRANCOIS GRUSSENMEYER",1,"FABIEN THIEME",0.204124145231932
19,"ADRIEN ZELLER",53,"ADRIEN ZELLER",7.28010988928052,"GEORGES CHAVANES",1,"FRANCIS GENG",0.204124145231932
20,"LOUIS BROISSIA",51,"LOUIS BROISSIA",7.14142842854285,"GERARD VIGNOBLE",1,"JEAN LOUIS MASSON",0.2
21,"JEAN YVES HABY",50,"JEAN YVES HABY",7.07106781186548,"GILBERT GANTIER",1,"SERGE CHARLES",0.192450089729875
22,"ALAIN JONEMANN",46,"ALAIN JONEMANN",6.78232998312527,"HENRI GASTINES",1,"JEAN MICHEL COUVE",0.185695338177052
23,"MONIQUE PAPON",44,"MONIQUE PAPON",6.6332495807108,"HENRY JEAN BAPTISTE",1,"JEAN BRIANE",0.179605302026775
24,"CHRISTIAN ESTROSI",42,"CHRISTIAN ESTROSI",6.48074069840786,"JEAN BRIANE",1,"GERARD VIGNOBLE",0.174077655955698
25,"AMBROISE GUELLEC",36,"AMBROISE GUELLEC",6,"JEAN BROCARD",1,"GILBERT GANTIER",0.169030850945703
26,"GILBERT GANTIER",35,"GILBERT GANTIER",5.91607978309962,"JEAN JACQUES JEGOU",1,"AMBROISE GUELLEC",0.166666666666667
27,"GERARD VIGNOBLE",33,"GERARD VIGNOBLE",5.74456264653803,"JEAN LOUIS MASSON",1,"CHRISTIAN ESTROSI",0.154303349962092
28,"JEAN BRIANE",31,"JEAN BRIANE",5.56776436283002,"JEAN MICHEL COUVE",1,"MONIQUE PAPON",0.150755672288882
29,"JEAN MICHEL COUVE",29,"JEAN MICHEL COUVE",5.3851648071345,"JEAN PAUL FUCHS",1,"ALAIN JONEMANN",0.147441956154897
30,"SERGE CHARLES",27,"SERGE CHARLES",5.19615242270663,"JEAN PIERRE DELALANDE",1,"JEAN YVES HABY",0.14142135623731
31,"JEAN LOUIS MASSON",25,"JEAN LOUIS MASSON",5,"JEAN PIERRE FOUCHER",1,"LOUIS BROISSIA",0.140028008402801
32,"FABIEN THIEME",24,"FABIEN THIEME",4.89897948556636,"JEAN YVES HABY",1,"ADRIEN ZELLER",0.137360563948689
33,"FRANCIS GENG",24,"FRANCIS GENG",4.89897948556636,"JOSEPH HENRI MAUJOUAN GASSET",1,"CLAUDE BIRRAUX",0.134839972492648
34,"BRUNO DURIEUX",23,"BRUNO DURIEUX",4.79583152331272,"LADISLAS PONIATOWSKI",1,"ALAIN GRIOTTERAY",0.133630620956212
35,"HENRI GASTINES",19,"HENRI GASTINES",4.35889894354067,"LOUIS BROISSIA",1,"DENIS JACQUAT",0.131306432859723
36,"ADRIEN DURAND",15,"ADRIEN DURAND",3.87298334620742,"MARTINE DAUGREILH",1,"PAUL CHOLLET",0.131306432859723
37,"RENE COUANAU",15,"RENE COUANAU",3.87298334620742,"MICHEL GIRAUD",1,"PIERRE MAUGER",0.131306432859723
38,"HENRY JEAN BAPTISTE",14,"HENRY JEAN BAPTISTE",3.74165738677394,"MICHEL TERROT",1,"MARTINE DAUGREILH",0.125988157669742
39,"GEORGES CHAVANES",13,"GEORGES CHAVANES",3.60555127546399,"MONIQUE PAPON",1,"FRANCOIS GRUSSENMEYER",0.124034734589208
40,"JEAN PIERRE FOUCHER",12,"JEAN PIERRE FOUCHER",3.46410161513775,"PAUL CHOLLET",1,"MICHEL GIRAUD",0.122169444356305
41,"JEAN PIERRE DELALANDE",9,"JEAN PIERRE DELALANDE",3,"PIERRE MAUGER",1,"JEAN JACQUES JEGOU",0.117041147196131
42,"BRUNO BOURG BROC",5,"BRUNO BOURG BROC",2.23606797749979,"PIERRE MAZEAUD",1,"CHRISTINE BOUTIN",0.114707866935281
43,"ANDRE SANTINI",3,"ANDRE SANTINI",1.73205080756888,"RENE COUANAU",1,"JEAN DESANLIS",0.112480568973149
44,"EMMANUEL AUBERT",2,"EMMANUEL AUBERT",1.4142135623731,"SERGE CHARLES",1,"JOSEPH HENRI MAUJOUAN GASSET",0.100503781525921
45,"ALAIN LAMASSOURE",1,"ALAIN LAMASSOURE",1,"ALAIN JONEMANN",1,"PIERRE REMY HOUSSIN",0.0957826285221151
46,"BERNARD SCHREINER",1,"BERNARD SCHREINER",1,"PIERRE REMY HOUSSIN",1,"JEAN BROCARD",0.0949157995752499
47,"ELIE HOARAU",1,"ELIE HOARAU",1,"MICHEL PELCHAT",0.997983870967742,"JEAN PAUL FUCHS",0.0898026510133874
48,"LADISLAS PONIATOWSKI",1,"LADISLAS PONIATOWSKI",1,"BERNARD DEBRE",0.99537037037037,"ROLAND NUNGESSER",0.0891797438437967
49,"MICHEL TERROT",1,"MICHEL TERROT",1,"ROLAND NUNGESSER",0.99537037037037,"MICHEL PELCHAT",0.085490100864719
50,"PIERRE MAZEAUD",1,"PIERRE MAZEAUD",1,"JEAN DESANLIS",0.987012987012987,"BERNARD DEBRE",0.0854693062642137
51,"AIME KERGUERIS",0,"AIME KERGUERIS",0,"AIME KERGUERIS",0,"AIME KERGUERIS",0
52,"ALAIN BOCQUET",0,"ALAIN BOCQUET",0,"ALAIN BOCQUET",0,"ALAIN BOCQUET",0
53,"ALAIN CARIGNON",0,"ALAIN CARIGNON",0,"ALAIN CARIGNON",0,"ALAIN CARIGNON",0
54,"ALAIN COUSIN",0,"ALAIN COUSIN",0,"ALAIN COUSIN",0,"ALAIN COUSIN",0
55,"ALAIN MADELIN",0,"ALAIN MADELIN",0,"ALAIN MADELIN",0,"ALAIN MADELIN",0
56,"ALAIN MAYOUD",0,"ALAIN MAYOUD",0,"ALAIN MAYOUD",0,"ALAIN MAYOUD",0
57,"ALAIN MOYNE BRESSAND",0,"ALAIN MOYNE BRESSAND",0,"ALAIN MOYNE BRESSAND",0,"ALAIN MOYNE BRESSAND",0
58,"ALAIN PEYREFITTE",0,"ALAIN PEYREFITTE",0,"ALAIN PEYREFITTE",0,"ALAIN PEYREFITTE",0
59,"ALAIN VERN",0,"ALAIN VERN",0,"ALAIN VERN",0,"ALAIN VERN",0
60,"ALBERT BROCHARD",0,"ALBERT BROCHARD",0,"ALBERT BROCHARD",0,"ALBERT BROCHARD",0
61,"ALEXIS POTA",0,"ALEXIS POTA",0,"ALEXIS POTA",0,"ALEXIS POTA",0
62,"ALOYSE WARHOUVER",0,"ALOYSE WARHOUVER",0,"ALOYSE WARHOUVER",0,"ALOYSE WARHOUVER",0
63,"ANDRE BERTHOL",0,"ANDRE BERTHOL",0,"ANDRE BERTHOL",0,"ANDRE BERTHOL",0
64,"ANDRE DUROMEA",0,"ANDRE DUROMEA",0,"ANDRE DUROMEA",0,"ANDRE DUROMEA",0
65,"ANDRE DURR",0,"ANDRE DURR",0,"ANDRE DURR",0,"ANDRE DURR",0
66,"ANDRE LAJOINIE",0,"ANDRE LAJOINIE",0,"ANDRE LAJOINIE",0,"ANDRE LAJOINIE",0
67,"ANDRE ROSSI",0,"ANDRE ROSSI",0,"ANDRE ROSSI",0,"ANDRE ROSSI",0
68,"ANDRE ROSSINOT",0,"ANDRE ROSSINOT",0,"ANDRE ROSSINOT",0,"ANDRE ROSSINOT",0
69,"ANDRE THIEN AH KOON",0,"ANDRE THIEN AH KOON",0,"ANDRE THIEN AH KOON",0,"ANDRE THIEN AH KOON",0
70,"ANTOINE RUFENACHT",0,"ANTOINE RUFENACHT",0,"ANTOINE RUFENACHT",0,"ANTOINE RUFENACHT",0
71,"ARNAUD LEPERCQ",0,"ARNAUD LEPERCQ",0,"ARNAUD LEPERCQ",0,"ARNAUD LEPERCQ",0
72,"ARTHUR DEHAINE",0,"ARTHUR DEHAINE",0,"ARTHUR DEHAINE",0,"ARTHUR DEHAINE",0
73,"ARTHUR PAECHT",0,"ARTHUR PAECHT",0,"ARTHUR PAECHT",0,"ARTHUR PAECHT",0
74,"AUGUSTE LEGROS",0,"AUGUSTE LEGROS",0,"AUGUSTE LEGROS",0,"AUGUSTE LEGROS",0
75,"BERNADETTE ISAAC SIBILLE",0,"BERNADETTE ISAAC SIBILLE",0,"BERNADETTE ISAAC SIBILLE",0,"BERNADETTE ISAAC SIBILLE",0
76,"BERNARD BOSSON",0,"BERNARD BOSSON",0,"BERNARD BOSSON",0,"BERNARD BOSSON",0
77,"BERNARD CHARLES",0,"BERNARD CHARLES",0,"BERNARD CHARLES",0,"BERNARD CHARLES",0
78,"BERNARD PONS",0,"BERNARD PONS",0,"BERNARD PONS",0,"BERNARD PONS",0
79,"BERNARD STASI",0,"BERNARD STASI",0,"BERNARD STASI",0,"BERNARD STASI",0
80,"CHARLES EHRMANN",0,"CHARLES EHRMANN",0,"CHARLES EHRMANN",0,"CHARLES EHRMANN",0
81,"CHARLES FEVRE",0,"CHARLES FEVRE",0,"CHARLES FEVRE",0,"CHARLES FEVRE",0
82,"CHARLES MILLON",0,"CHARLES MILLON",0,"CHARLES MILLON",0,"CHARLES MILLON",0
83,"CHARLES MIOSSEC",0,"CHARLES MIOSSEC",0,"CHARLES MIOSSEC",0,"CHARLES MIOSSEC",0
84,"CHARLES PACCOU",0,"CHARLES PACCOU",0,"CHARLES PACCOU",0,"CHARLES PACCOU",0
85,"CHRISTIAN CABAL",0,"CHRISTIAN CABAL",0,"CHRISTIAN CABAL",0,"CHRISTIAN CABAL",0
86,"CHRISTIAN KERT",0,"CHRISTIAN KERT",0,"CHRISTIAN KERT",0,"CHRISTIAN KERT",0
87,"CHRISTIAN SPILLER",0,"CHRISTIAN SPILLER",0,"CHRISTIAN SPILLER",0,"CHRISTIAN SPILLER",0
88,"CHRISTIANE PAPON",0,"CHRISTIANE PAPON",0,"CHRISTIANE PAPON",0,"CHRISTIANE PAPON",0
89,"CLAUDE BARATE",0,"CLAUDE BARATE",0,"CLAUDE BARATE",0,"CLAUDE BARATE",0
90,"CLAUDE DHINNIN",0,"CLAUDE DHINNIN",0,"CLAUDE DHINNIN",0,"CLAUDE DHINNIN",0
91,"CLAUDE GAILLARD",0,"CLAUDE GAILLARD",0,"CLAUDE GAILLARD",0,"CLAUDE GAILLARD",0
92,"CLAUDE GATIGNOL",0,"CLAUDE GATIGNOL",0,"CLAUDE GATIGNOL",0,"CLAUDE GATIGNOL",0
93,"CLAUDE GERARD MARCUS",0,"CLAUDE GERARD MARCUS",0,"CLAUDE GERARD MARCUS",0,"CLAUDE GERARD MARCUS",0
94,"CLAUDE LABBE",0,"CLAUDE LABBE",0,"CLAUDE LABBE",0,"CLAUDE LABBE",0
95,"DANIEL COLIN",0,"DANIEL COLIN",0,"DANIEL COLIN",0,"DANIEL COLIN",0
96,"DANIEL GOULET",0,"DANIEL GOULET",0,"DANIEL GOULET",0,"DANIEL GOULET",0
97,"DANIEL MEUR",0,"DANIEL MEUR",0,"DANIEL MEUR",0,"DANIEL MEUR",0
98,"DIDIER JULIA",0,"DIDIER JULIA",0,"DIDIER JULIA",0,"DIDIER JULIA",0
99,"DOMINIQUE BAUDIS",0,"DOMINIQUE BAUDIS",0,"DOMINIQUE BAUDIS",0,"DOMINIQUE BAUDIS",0
100,"EDMOND ALPHANDERY",0,"EDMOND ALPHANDERY",0,"EDMOND ALPHANDERY",0,"EDMOND ALPHANDERY",0
101,"EDMOND GERRER",0,"EDMOND GERRER",0,"EDMOND GERRER",0,"EDMOND GERRER",0
102,"EDOUARD FREDERIC DUPONT",0,"EDOUARD FREDERIC DUPONT",0,"EDOUARD FREDERIC DUPONT",0,"EDOUARD FREDERIC DUPONT",0
103,"EDOUARD LANDRAIN",0,"EDOUARD LANDRAIN",0,"EDOUARD LANDRAIN",0,"EDOUARD LANDRAIN",0
