"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"DENYS ROBILIARD",248,"DENYS ROBILIARD",15.7480157480236,"FRANCOIS ASENSI",1,"BERNARD LESTERLIN",1
2,"GERALD DARMANIN",191,"GERALD DARMANIN",13.8202749610853,"FRANCOIS FILLON",1,"DANIELE HOFFMAN RISPAL",1
3,"DANIEL FASQUELLE",186,"DANIEL FASQUELLE",13.6381816969859,"ALAIN BOCQUET",1,"GILBERT COLLARD",1
4,"BERENGERE POLETTI",184,"BERENGERE POLETTI",13.5646599662505,"ALAIN CALMETTE",1,"JEAN CLAUDE MATHIS",1
5,"GILLES LURTON",182,"GILLES LURTON",13.490737563232,"ALAIN GEST",1,"JEAN FRANCOIS MANCEL",1
6,"JEAN CHARLES TAUGOURDEAU",182,"JEAN CHARLES TAUGOURDEAU",13.490737563232,"ALAIN LEBOEUF",1,"JEAN LOUIS CHRIST",1
7,"JEAN FREDERIC POISSON",182,"JEAN FREDERIC POISSON",13.490737563232,"ALAIN MARC",1,"MONIQUE RABIN",1
8,"CHRISTIAN JACOB",180,"CHRISTIAN JACOB",13.4164078649987,"ALAIN MARLEIX",1,"NATHALIE NIESON",1
9,"HERVE GAYMARD",180,"HERVE GAYMARD",13.4164078649987,"ALAIN MARSAUD",1,"PASCAL TERRASSE",1
10,"JEAN PIERRE DOOR",180,"JEAN PIERRE DOOR",13.4164078649987,"ALAIN MARTY",1,"PATRICK VIGNAL",1
11,"ARNAUD ROBINET",179,"ARNAUD ROBINET",13.3790881602597,"ALAIN ROUSSET",1,"VINCENT BURRONI",1
12,"DOMINIQUE TIAN",178,"DOMINIQUE TIAN",13.3416640641263,"ALAIN SUGUENOT",1,"ANDRE SCHNEIDER",0.707106781186548
13,"GEORGES FENECH",178,"GEORGES FENECH",13.3416640641263,"ALAIN TOURRET",1,"CHRISTIAN ASSAF",0.707106781186548
14,"GERARD CHERPION",178,"GERARD CHERPION",13.3416640641263,"ALEXIS BACHELAY",1,"DANIEL BOISSERIE",0.707106781186548
15,"HERVE MARITON",178,"HERVE MARITON",13.3416640641263,"ANDRE CHASSAIGNE",1,"GUY MICHEL CHAUVEAU",0.707106781186548
16,"JEAN MARIE TETART",178,"JEAN MARIE TETART",13.3416640641263,"ANDRE SCHNEIDER",1,"JACQUES KOSSOWSKI",0.707106781186548
17,"SOPHIE DION",178,"SOPHIE DION",13.3416640641263,"ANNE GROMMERCH",1,"JACQUES VALAX",0.707106781186548
18,"ANNE GROMMERCH",177,"ANNE GROMMERCH",13.3041346956501,"ANNE LISE DUFOUR TONINI",1,"JEAN GLAVANY",0.707106781186548
19,"ANTOINE HERTH",177,"ANTOINE HERTH",13.3041346956501,"ANNE YVONNE DAIN",1,"JEAN LUC LAURENT",0.707106781186548
20,"CATHERINE VAUTRIN",177,"CATHERINE VAUTRIN",13.3041346956501,"ANNICK LEPETIT",1,"MARIE FRANCOISE BECHTEL",0.707106781186548
21,"FREDERIC REISS",177,"FREDERIC REISS",13.3041346956501,"ANNIE GENEVARD",1,"MICHEL LESAGE",0.707106781186548
22,"PATRICK HETZEL",177,"PATRICK HETZEL",13.3041346956501,"ANTOINE HERTH",1,"PATRICK MENNUCCI",0.707106781186548
23,"VIRGINIE DUBY MULLER",177,"VIRGINIE DUBY MULLER",13.3041346956501,"ARLETTE GROSSKOST",1,"DOMINIQUE BAERT",0.577350269189626
24,"FRANCK RIESTER",176,"FRANCK RIESTER",13.2664991614216,"ARNAUD LEROY",1,"EDUARDO RIHAN CYPEL",0.577350269189626
25,"MARC FUR",176,"MARC FUR",13.2664991614216,"ARNAUD ROBINET",1,"OLIVIER FAURE",0.577350269189626
26,"PHILIPPE MEUNIER",176,"PHILIPPE MEUNIER",13.2664991614216,"ARY CHALUS",1,"REMI DELATTE",0.577350269189626
27,"CLAUDINE SCHMID",175,"CLAUDINE SCHMID",13.228756555323,"AUDREY LINKENHELD",1,"BRIGITTE BOURGUIGNON",0.5
28,"JEAN PIERRE DECOOL",175,"JEAN PIERRE DECOOL",13.228756555323,"AVI ASSOULY",1,"JACQUES BOMPARD",0.5
29,"PHILIPPE GOSSELIN",175,"PHILIPPE GOSSELIN",13.228756555323,"AXELLE LEMAIRE",1,"JEAN LOUIS DESTANS",0.5
30,"ETIENNE BLANC",174,"ETIENNE BLANC",13.1909059582729,"BARBARA POMPILI",1,"PASCAL DEGUILHEM",0.5
31,"CLAUDE GREFF",171,"CLAUDE GREFF",13.076696830622,"BARBARA ROMAGNAN",1,"FRANCOIS FILLON",0.447213595499958
32,"MARTIAL SADDIER",171,"MARTIAL SADDIER",13.076696830622,"BEATRICE SANTAIS",1,"JEAN LEONETTI",0.447213595499958
33,"DOMINIQUE POTIER",161,"DOMINIQUE POTIER",12.6885775404495,"BENOIST APPARU",1,"LUCE PANE",0.447213595499958
34,"CHANTAL GUITTET",140,"CHANTAL GUITTET",11.8321595661992,"BERENGERE POLETTI",1,"MICHEL LIEBGOTT",0.447213595499958
35,"MAUD OLIVIER",137,"MAUD OLIVIER",11.7046999107196,"BERNADETTE LACLAIS",1,"SUZANNE TALLARD",0.447213595499958
36,"CHRISTOPHE SIRUGUE",136,"CHRISTOPHE SIRUGUE",11.6580054430031,"BERNARD ACCOYER",1,"LUC BELOT",0.447213595499958
37,"DAMIEN ABAD",133,"DAMIEN ABAD",11.5325625946708,"BERNARD DEFLESSELLES",1,"ANNE LISE DUFOUR TONINI",0.408248290463863
38,"SYLVIANE BULTEAU",133,"SYLVIANE BULTEAU",11.5325625946708,"BERNARD LESTERLIN",1,"CHRISTINE PIRES BEAUNE",0.408248290463863
39,"JEAN YVES BOUILLONNEC",131,"JEAN YVES BOUILLONNEC",11.4455231422596,"BERNARD PERRUT",1,"FABRICE VERDIER",0.408248290463863
40,"SANDRINE MAZETIER",120,"SANDRINE MAZETIER",10.9544511501033,"BOINALI SAID",1,"PATRICK LABAUNE",0.408248290463863
41,"FREDERIQUE MASSAT",120,"FREDERIQUE MASSAT",10.9486474669674,"BRIGITTE BOURGUIGNON",1,"THIERRY MANDON",0.408248290463863
42,"CATHERINE COUTELLE",118,"CATHERINE COUTELLE",10.8627804912002,"BRUNO MAIRE",1,"ALAIN MARTY",0.377964473009227
43,"PASCALE GOT",117,"PASCALE GOT",10.816653826392,"BRUNO NESTOR AZEROT",1,"BERNADETTE LACLAIS",0.377964473009227
44,"CHRISTIAN PAUL",116,"CHRISTIAN PAUL",10.770329614269,"BRUNO ROUX",1,"BOINALI SAID",0.377964473009227
45,"POURIA AMIRSHAHI",112,"POURIA AMIRSHAHI",10.5830052442584,"CAMILLE ROCCA SERRA",1,"GERARD TERRIER",0.377964473009227
46,"MARIE CHRISTINE DALLOZ",110,"MARIE CHRISTINE DALLOZ",10.4880884817015,"CAROLE DELGA",1,"GWENDAL ROUILLARD",0.377964473009227
47,"HERVE PELLOIS",105,"HERVE PELLOIS",10.2438031846333,"CATHERINE COUTELLE",1,"HENRI EMMANUELLI",0.377964473009227
48,"ANNIE GENEVARD",104,"ANNIE GENEVARD",10.1980390271856,"CATHERINE LEMORTON",1,"JEAN DAVID CIOT",0.377964473009227
49,"ALAIN SUGUENOT",101,"ALAIN SUGUENOT",10.0498756211209,"CATHERINE TROALLIC",1,"PATRICK LEBRETON",0.377964473009227
50,"LIONNEL LUCA",101,"LIONNEL LUCA",10.0498756211209,"CATHERINE VAUTRIN",1,"PHILIPPE COCHET",0.377964473009227
51,"ERICKA BAREIGTS",101,"ERICKA BAREIGTS",10.0371783632129,"CELESTE LETT",1,"THERESE GUILBERT",0.377964473009227
52,"VERONIQUE LOUWAGIE",100,"VERONIQUE LOUWAGIE",10,"CHANTAL BERTHELOT",1,"JEAN PHILIPPE NILOR",0.377964473009227
53,"FANELIE CARREY CONTE",97,"FANELIE CARREY CONTE",9.8488578017961,"CHANTAL GUITTET",1,"ALAIN GEST",0.353553390593274
54,"BENOIST APPARU",95,"BENOIST APPARU",9.74679434480896,"CHARLES ANGE GINESY",1,"ALAIN MARLEIX",0.353553390593274
55,"LAURENT BAUMEL",93,"LAURENT BAUMEL",9.64365076099295,"CHAYNESSE KHIROUNI",1,"BEATRICE SANTAIS",0.353553390593274
56,"ALAIN ROUSSET",92,"ALAIN ROUSSET",9.59166304662544,"CHRISTIAN ASSAF",1,"BERNARD DEFLESSELLES",0.353553390593274
57,"JULIEN AUBERT",92,"JULIEN AUBERT",9.59166304662544,"CHRISTIAN ECKERT",1,"CHRISTOPHE PRIOU",0.353553390593274
58,"OLIVIER MARLEIX",92,"OLIVIER MARLEIX",9.59166304662544,"CHRISTIAN ESTROSI",1,"CLAUDE GOASGUEN",0.353553390593274
59,"LIONEL TARDY",91,"LIONEL TARDY",9.53939201416946,"CHRISTIAN HUTIN",1,"CLAUDE STURNI",0.353553390593274
60,"ISABELLE CALLENNEC",88,"ISABELLE CALLENNEC",9.38083151964686,"CHRISTIAN JACOB",1,"ELISABETH POCHON",0.353553390593274
61,"DINO CINIERI",87,"DINO CINIERI",9.32737905308882,"CHRISTIAN KERT",1,"GENEVIEVE GOSSELIN FLEURY",0.353553390593274
62,"OLIVIER DASSAULT",87,"OLIVIER DASSAULT",9.32737905308882,"CHRISTIAN PAUL",1,"GEORGES GINESTA",0.353553390593274
63,"YVES BLEIN",85,"YVES BLEIN",9.21954445729289,"CHRISTINE PIRES BEAUNE",1,"JEAN LOUIS COSTES",0.353553390593274
64,"JEAN MARC GERMAIN",83,"JEAN MARC GERMAIN",9.10942617784978,"CHRISTOPHE BORGEL",1,"JEAN MARIE BEFFARA",0.353553390593274
65,"CHRISTIAN ECKERT",82,"CHRISTIAN ECKERT",9.05538513813742,"CHRISTOPHE CARESCHE",1,"JEAN SEBASTIEN VIALATTE",0.353553390593274
66,"DAVID DOUILLET",82,"DAVID DOUILLET",9.05538513813742,"CHRISTOPHE CAVARD",1,"DIDIER QUENTIN",0.353553390593274
67,"LUC CHATEL",82,"LUC CHATEL",9.05538513813742,"CHRISTOPHE GUILLOTEAU",1,"JEAN MICHEL COUVE",0.353553390593274
68,"CAROLE DELGA",81,"CAROLE DELGA",9,"CHRISTOPHE PRIOU",1,"PIERRE LELLOUCHE",0.353553390593274
69,"GUENHAEL HUET",81,"GUENHAEL HUET",9,"CLAUDE GANAY",1,"ALAIN BOCQUET",0.333333333333333
70,"PHILIPPE GOUJON",81,"PHILIPPE GOUJON",9,"CLAUDE GOASGUEN",1,"ALAIN MARSAUD",0.333333333333333
71,"CATHERINE TROALLIC",80,"CATHERINE TROALLIC",8.94427190999916,"CLAUDE GREFF",1,"DENIS JACQUAT",0.333333333333333
72,"JEAN LOUIS DUMONT",80,"JEAN LOUIS DUMONT",8.94427190999916,"CLAUDE STURNI",1,"GABY CHARROUX",0.333333333333333
73,"JEAN PIERRE GORGES",80,"JEAN PIERRE GORGES",8.94427190999916,"CLAUDINE SCHMID",1,"JEAN MARIE GUEN",0.333333333333333
74,"FLORENCE DELAUNAY",79,"FLORENCE DELAUNAY",8.88819441731559,"CLOTILDE VALTER",1,"JOSETTE PONS",0.333333333333333
75,"RAZZY HAMMADI",73,"RAZZY HAMMADI",8.54400374531753,"COLETTE CAPDEVIELLE",1,"LAURENT FURST",0.333333333333333
76,"NATHALIE KOSCIUSKO MORIZET",71,"NATHALIE KOSCIUSKO MORIZET",8.42614977317636,"COLETTE LANGLADE",1,"NATHALIE CHABANNE",0.333333333333333
77,"MARIANNE DUBOIS",70,"MARIANNE DUBOIS",8.36660026534076,"CORINNE ERHEL",1,"NICOLAS SANSU",0.333333333333333
78,"PATRICE MARTIN LALANDE",70,"PATRICE MARTIN LALANDE",8.36660026534076,"CORINNE NARASSIGUIN",1,"PATRICE CARVALHO",0.333333333333333
79,"GUY TEISSIER",69,"GUY TEISSIER",8.30662386291807,"DAMIEN ABAD",1,"MICHEL SORDI",0.333333333333333
80,"GENEVIEVE GAILLARD",69,"GENEVIEVE GAILLARD",8.30662386291807,"DAMIEN MESLOT",1,"DAMIEN MESLOT",0.316227766016838
81,"BARBARA ROMAGNAN",68,"BARBARA ROMAGNAN",8.24621125123532,"DANIEL BOISSERIE",1,"EDOUARD PHILIPPE",0.316227766016838
82,"FREDERIC ROIG",68,"FREDERIC ROIG",8.24621125123532,"DANIEL FASQUELLE",1,"FRANCK GILARD",0.316227766016838
83,"LAURENT GRANDGUILLAUME",68,"LAURENT GRANDGUILLAUME",8.24621125123532,"DANIEL GOLDBERG",1,"GUILLAUME CHEVROLLIER",0.316227766016838
84,"YVES DANIEL",68,"YVES DANIEL",8.24621125123532,"DANIELE HOFFMAN RISPAL",1,"JEAN JACQUES CANDELIER",0.316227766016838
85,"JEAN RENE MARSAC",67,"JEAN RENE MARSAC",8.18535277187245,"DANIELLE AUROI",1,"JEAN LUC DRAPEAU",0.316227766016838
86,"PHILIPPE RAY",67,"PHILIPPE RAY",8.18535277187245,"DAVID DOUILLET",1,"NICOLE AMELINE",0.316227766016838
87,"THIERRY LAZARO",67,"THIERRY LAZARO",8.18535277187245,"DELPHINE BATHO",1,"SEBASTIEN HUYGHE",0.316227766016838
88,"ALEXIS BACHELAY",66,"ALEXIS BACHELAY",8.12403840463596,"DENIS BAUPIN",1,"SERGE JANQUIN",0.316227766016838
89,"JEROME GUEDJ",66,"JEROME GUEDJ",8.12403840463596,"DENIS JACQUAT",1,"YANNICK MOREAU",0.316227766016838
90,"ARLETTE GROSSKOST",65,"ARLETTE GROSSKOST",8.06225774829855,"DENYS ROBILIARD",1,"SEBASTIEN PIETRASANTA",0.316227766016838
91,"AXELLE LEMAIRE",64,"AXELLE LEMAIRE",8,"DINO CINIERI",1,"ERWANN BINET",0.301511344577764
92,"JEAN PIERRE BARBIER",64,"JEAN PIERRE BARBIER",8,"DOMINIQUE BAERT",1,"GERMINAL PEIRO",0.301511344577764
93,"KHEIRA BOUZIANE",64,"KHEIRA BOUZIANE",8,"DOMINIQUE CHAUVEL",1,"JEAN CLAUDE FRUTEAU",0.301511344577764
94,"CECILE UNTERMAIER",64,"CECILE UNTERMAIER",7.98570150778431,"DOMINIQUE LEFEBVRE",1,"JEAN PIERRE DUFAU",0.301511344577764
95,"PATRICK BALKANY",64,"GENEVIEVE LEVY",7.87400787401181,"DOMINIQUE NACHURY",1,"PHILIPPE HOUILLON",0.301511344577764
96,"GENEVIEVE LEVY",62,"SEBASTIEN DENAJA",7.87400787401181,"DOMINIQUE POTIER",1,"JEAN PAUL BACQUET",0.301511344577764
97,"SEBASTIEN DENAJA",62,"JEAN PATRICK GILLE",7.81024967590665,"DOMINIQUE TIAN",1,"MICHEL DESTOT",0.288675134594813
98,"JEAN PATRICK GILLE",61,"PHILIP CORDERY",7.81024967590665,"EDITH GUEUGNEAU",1,"MICHEL HEINRICH",0.288675134594813
99,"PHILIP CORDERY",61,"SOPHIE DESSUS",7.81024967590665,"EDOUARD COURTIAL",1,"PAOLA ZANETTI",0.288675134594813
100,"SOPHIE DESSUS",61,"ELIE ABOUD",7.74596669241483,"EDOUARD PHILIPPE",1,"PASCAL POPELIN",0.288675134594813
101,"NICOLAS DHUICQ",61,"GILLES CARREZ",7.74596669241483,"EDUARDO RIHAN CYPEL",1,"PIERRE MORANGE",0.288675134594813
102,"ELIE ABOUD",60,"JULIE SOMMARUGA",7.61577310586391,"ELIE ABOUD",1,"REGIS JUANICO",0.288675134594813
103,"GILLES CARREZ",60,"VALERIE BOYER",7.61577310586391,"ELISABETH POCHON",1,"YANN CAPET",0.288675134594813
104,"JULIE SOMMARUGA",58,"XAVIER BRETON",7.61577310586391,"ERIC CIOTTI",1,"YANN GALUT",0.288675134594813
105,"VALERIE BOYER",58,"CLOTILDE VALTER",7.54983443527075,"ERIC STRAUMANN",1,"FRANCOIS ASENSI",0.277350098112615
106,"XAVIER BRETON",58,"JEAN MARIE SERMIER",7.48331477354788,"ERIC WOERTH",1,"ARY CHALUS",0.277350098112615
107,"CLOTILDE VALTER",57,"MARIE FRANCOISE CLERGEAU",7.48331477354788,"ERWANN BINET",1,"CHRISTOPHE CARESCHE",0.277350098112615
108,"JEAN MARIE SERMIER",56,"AUDREY LINKENHELD",7.41619848709566,"ETIENNE BLANC",1,"JACQUES MOIGNARD",0.277350098112615
109,"MARIE FRANCOISE CLERGEAU",56,"BERNARD PERRUT",7.41619848709566,"FABRICE VERDIER",1,"JEAN FRANCOIS LAMOUR",0.277350098112615
110,"AUDREY LINKENHELD",55,"FRANCOIS BROTTES",7.41619848709566,"FANELIE CARREY CONTE",1,"JEAN NOEL CARPENTIER",0.277350098112615
111,"BERNARD PERRUT",55,"FRANCOIS PUPPONI",7.41619848709566,"FANNY DOMBRE COSTE",1,"MARIE NOELLE BATTISTEL",0.277350098112615
112,"FRANCOIS BROTTES",55,"YVES FOULON",7.41619848709566,"FLORENCE DELAUNAY",1,"OLIVIER FALORNI",0.277350098112615
113,"FRANCOIS PUPPONI",55,"ERIC CIOTTI",7.34846922834953,"FRANCK GILARD",1,"SAUVEUR GANDOLFI SCHEIT",0.277350098112615
114,"YVES FOULON",55,"FANNY DOMBRE COSTE",7.34846922834953,"FRANCK MARLIN",1,"ALAIN TOURRET",0.267261241912424
115,"ERIC CIOTTI",54,"KARINE BERGER",7.34846922834953,"FRANCK RIESTER",1,"ANDRE CHASSAIGNE",0.267261241912424
116,"FANNY DOMBRE COSTE",54,"MARTINE PINVILLE",7.34846922834953,"FRANCOIS BROTTES",1,"BRUNO NESTOR AZEROT",0.267261241912424
117,"KARINE BERGER",54,"CAMILLE ROCCA SERRA",7.28010988928052,"FRANCOIS PUPPONI",1,"DANIELLE AUROI",0.267261241912424
118,"MARTINE PINVILLE",54,"MARIE LOU MARCEL",7.28010988928052,"FRANCOIS SCELLIER",1,"HENRI GUAINO",0.267261241912424
119,"CAMILLE ROCCA SERRA",53,"SERGE BARDY",7.28010988928052,"FRANCOIS VANNSON",1,"JEAN LOUIS ROUMEGAS",0.267261241912424
120,"MARIE LOU MARCEL",53,"XAVIER BERTRAND",7.28010988928052,"FRANCOISE DESCAMPS CROSNIER",1,"JEAN LUC WARSMANN",0.267261241912424
121,"SERGE BARDY",53,"OLIVIER AUDIBERT TROIN",7.21110255092798,"FREDERIC REISS",1,"LAURENCE ABEILLE",0.267261241912424
122,"XAVIER BERTRAND",53,"ANNICK LOCH",7.20042733774558,"FREDERIC ROIG",1,"MARIE GEORGE BUFFET",0.267261241912424
123,"OLIVIER AUDIBERT TROIN",52,"CLAUDE GANAY",7.14142842854285,"GABRIEL SERVILLE",1,"PAUL MOLAC",0.267261241912424
124,"ANNICK LOCH",52,"PAUL SALEN",7.14142842854285,"GABY CHARROUX",1,"SERGIO CORONADO",0.267261241912424
125,"CLAUDE GANAY",51,"MARTINE FAURE",7.07106781186548,"GENEVIEVE GOSSELIN FLEURY",1,"STEPHANE DEMILLY",0.267261241912424
126,"PAUL SALEN",51,"JEAN PIERRE ROCH",7,"GENEVIEVE LEVY",1,"THIERRY BRAILLARD",0.267261241912424
127,"MARTINE FAURE",50,"MICHEL LEFAIT",7,"GEORGES FENECH",1,"THIERRY MARIANI",0.267261241912424
128,"JEAN PIERRE ROCH",49,"MATHIEU HANOTIN",6.92820323027551,"GEORGES GINESTA",1,"BRIGITTE ALLAIN",0.267190265616836
129,"MICHEL LEFAIT",49,"VALERIE LACROUTE",6.92820323027551,"GERALD DARMANIN",1,"EVA SAS",0.267123584823252
130,"THIERRY BENOIT",49,"VINCENT FELTESSE",6.92820323027551,"GERARD BAPT",1,"VERONIQUE MASSONNEAU",0.267041484834
131,"MATHIEU HANOTIN",48,"DELPHINE BATHO",6.85565460040104,"GERARD CHERPION",1,"JACQUELINE FRAYSSE",0.267016235435869
132,"VALERIE LACROUTE",48,"GERARD BAPT",6.85565460040104,"GERARD TERRIER",1,"JEAN JACQUES URVOAS",0.258198889747161
