"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"GEORGES GRUILLOT",81,"GEORGES GRUILLOT",9,"ALAIN VASSELLE",1,"ERNEST CARTIGNY",1
2,"CLAUDE ESTIER",66,"CLAUDE ESTIER",8.12403840463596,"CHARLES CUTTOLI",1,"GERARD CESAR",1
3,"JEAN PAUL DELEVOYE",64,"JEAN PAUL DELEVOYE",8,"CHARLES DESCOURS",1,"HENRI REVOL",1
4,"ALAIN VASSELLE",56,"ALAIN VASSELLE",7.48331477354788,"CLAUDE ESTIER",1,"JEAN BERNADAUX",1
5,"MARC LAURIOL",56,"MARC LAURIOL",7.48331477354788,"ERNEST CARTIGNY",1,"JEAN BESSON",1
6,"HUBERT HAENEL",55,"HUBERT HAENEL",7.41619848709566,"FELIX LEYZOUR",1,"JEAN DELANEAU",1
7,"CHARLES DESCOURS",34,"CHARLES DESCOURS",5.8309518948453,"GERARD CESAR",1,"MARIE MADELEINE DIEULANGARD",1
8,"PHILIPPE MARINI",34,"PHILIPPE MARINI",5.8309518948453,"HELENE LUC",1,"MARYSE BERGE LAVIGNE",1
9,"PAUL GIROD",20,"PAUL GIROD",4.47213595499958,"HENRI REVOL",1,"CHARLES CUTTOLI",0.707106781186548
10,"FELIX LEYZOUR",14,"FELIX LEYZOUR",3.74165738677394,"HUBERT HAENEL",1,"JACQUES GENTON",0.707106781186548
11,"HELENE LUC",14,"HELENE LUC",3.74165738677394,"IVAN RENAR",1,"JOSETTE DURRIEU",0.707106781186548
12,"IVAN RENAR",14,"IVAN RENAR",3.74165738677394,"JACQUELINE FRAYSSE CAZALIS",1,"PAULETTE BRISEPIERRE",0.707106781186548
13,"JACQUELINE FRAYSSE CAZALIS",14,"JACQUELINE FRAYSSE CAZALIS",3.74165738677394,"JACQUES GENTON",1,"MAURICE SCHUMANN",0.5
14,"JEAN LUC BECART",14,"JEAN LUC BECART",3.74165738677394,"JEAN BERNADAUX",1,"PHILIPPE FRANCOIS",0.447213595499958
15,"LOUIS MINETTI",14,"LOUIS MINETTI",3.74165738677394,"JEAN BESSON",1,"PHILIPPE RICHERT",0.301511344577764
16,"MICHELLE DEMESSINE",14,"MICHELLE DEMESSINE",3.74165738677394,"JEAN DELANEAU",1,"FELIX LEYZOUR",0.267261241912424
17,"RENE REGNAULT",14,"RENE REGNAULT",3.74165738677394,"JEAN LUC BECART",1,"HELENE LUC",0.267261241912424
18,"ROBERT PAGES",14,"ROBERT PAGES",3.74165738677394,"JEAN PAUL DELEVOYE",1,"IVAN RENAR",0.267261241912424
19,"ROBERT VIZET",14,"ROBERT VIZET",3.74165738677394,"JOSETTE DURRIEU",1,"JACQUELINE FRAYSSE CAZALIS",0.267261241912424
20,"MARIE CLAUDE BEAUDEAU",14,"MARIE CLAUDE BEAUDEAU",3.74165738677394,"LOUIS MINETTI",1,"JEAN LUC BECART",0.267261241912424
21,"PHILIPPE RICHERT",11,"PHILIPPE RICHERT",3.3166247903554,"MARC LAURIOL",1,"LOUIS MINETTI",0.267261241912424
22,"PHILIPPE FRANCOIS",5,"PHILIPPE FRANCOIS",2.23606797749979,"MARIE MADELEINE DIEULANGARD",1,"MICHELLE DEMESSINE",0.267261241912424
23,"MAURICE SCHUMANN",4,"MAURICE SCHUMANN",2,"MARYSE BERGE LAVIGNE",1,"RENE REGNAULT",0.267261241912424
24,"CHARLES CUTTOLI",2,"CHARLES CUTTOLI",1.4142135623731,"MAURICE SCHUMANN",1,"ROBERT PAGES",0.267261241912424
25,"JACQUES GENTON",2,"JACQUES GENTON",1.4142135623731,"MICHELLE DEMESSINE",1,"ROBERT VIZET",0.267261241912424
