"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"BERNARD CARAYON",348,"BERNARD CARAYON",18.612415843116,"ALAIN BOCQUET",1,"ALFRED ALMONT",1
2,"THIERRY MARIANI",333,"THIERRY MARIANI",18.2290618273665,"ALAIN JOYANDET",1,"DANIEL GARRIGUE",1
3,"JACQUES KOSSOWSKI",328,"JACQUES KOSSOWSKI",18.1028668195265,"ALAIN MARLEIX",1,"DIDIER JULIA",1
4,"BERNARD PERRUT",319,"CHRISTIAN ESTROSI",17.7835173837621,"ALAIN MARSAUD",1,"DIDIER QUENTIN",1
5,"CHRISTIAN ESTROSI",317,"GEORGES TRON",17.0515530725173,"ALAIN MERLY",1,"ERIC BESSON",1
6,"YANNICK FAVENNEC",306,"PIERRE MOREL HUISSIER",16.6977976801859,"ALAIN NERI",1,"GILBERT GANTIER",1
7,"GEORGES TRON",291,"MARYSE JOISSAINS MASINI",16.4862812166489,"ALFRED ALMONT",1,"JEAN CLAUDE LEFORT",1
8,"PATRICK BEAUDOUIN",284,"NATHALIE KOSCIUSKO MORIZET",16.4012194668567,"ANDRE CHASSAIGNE",1,"JEAN YVES DEAUT",1
9,"PIERRE MOREL HUISSIER",279,"PHILIPPE ARMAND MARTIN",16.1506040037278,"ANDRE GERIN",1,"MICHEL BUILLARD",1
10,"JEAN PIERRE ABELIN",274,"FRANCOIS SCELLIER",16.1245154965971,"ANDRE SANTINI",1,"PIERRE LOUIS FAGNIEZ",1
11,"MARYSE JOISSAINS MASINI",272,"VALERIE PECRESSE",16.0893498777042,"ANNE MARIE COMPARINI",1,"RENE DOSIERE",1
12,"NATHALIE KOSCIUSKO MORIZET",269,"CHANTAL BRUNEL",16.0504759361764,"ANTOINE HERTH",1,"ANDRE SANTINI",0.707106781186548
13,"JEAN CLAUDE DECAGNY",262,"PATRICK BEAUDOUIN",15.9730679231137,"ARLETTE GROSSKOST",1,"BERNARD ACCOYER",0.707106781186548
14,"PHILIPPE ARMAND MARTIN",261,"ALAIN SUGUENOT",15.9243513940211,"ARMAND JUNG",1,"GENEVIEVE GAILLARD",0.707106781186548
15,"FRANCOIS SCELLIER",260,"JEAN CLAUDE GUIBAL",15.8745078663875,"BERENGERE POLETTI",1,"JEAN PAUL BACQUET",0.707106781186548
