"","1","2","3","4","5","togetherness"
"CEN",65,3,4,0,32,62.5
"COM",0,4,0,17,0,81
"DRO",11,0,112,0,14,81.8
"RAD",11,5,4,0,10,36.7
"SE",1,0,3,0,5,55.6
"SOC",0,82,0,0,0,100
