"","1","2","3","4","5","togetherness"
"CEN",40,1,35,15,0,44
"COM",0,3,0,0,20,87
"DRO",21,0,116,23,0,72.5
"RAD",11,5,4,10,0,36.7
"SE",0,0,4,7,0,63.6
"SOC",0,82,0,0,0,100
