"","1","2","3","4","5","6","togetherness"
"CEN",0,0,0,42,1,7,84
"COM",35,0,0,1,1,0,94.6
"DRO",0,0,0,57,0,155,73.1
"ECO",0,10,0,0,2,0,83.3
"RAD",1,1,1,23,3,1,76.7
"SE",0,0,0,1,0,7,87.5
"SOC",0,36,32,2,105,0,60
