"","1","2","3","4","togetherness"
"CEN",23,2,12,0,62.2
"COM",0,24,0,0,100
"DRO",50,1,308,0,85.8
"ECO",0,1,0,0,100
"SE",4,0,5,0,55.6
"SOC",14,19,1,189,84.8
