"","B","SE8","SE","SE9","SE","SE10","SE","SE11","SE","SE12","SE","SE13","SE","SE14","SE","AN8","SE","AN9","SE","AN10","SE","AN11","SE","AN12","SE","AN13","SE","AN14","SE"
"8","Edges",-5.61270299517971,0.19247956515815,-4.80087403686673,0.145448583399047,-4.42930941056573,0.0836164062256453,-3.86690156811628,0.0493003714728446,-3.87200549854247,0.163991971479637,-3.81662016085266,0.171400232991172,-4.43963320649275,0.135036790736666,-3.28211795551691,0.0604338379788019,-2.64408738699091,0.0420106123508819,-4.92526115873453,0.0976056389844894,-3.7731159780448,0.127997384482924,-2.56302396423811,0.475933153194259,-3.40748652165732,65.3288616954849,-3.93793868333604,8.62320255984596
"9","Reciprocity",1.26535723916943,0.241969444859088,1.56899105629854,0.153372757028328,1.17441225664355,0.105317425275539,1.42069747664523,0.0706830128501957,1.77854079940168,0.194045129489291,1.90992551748891,0.187072756628386,1.5711492325721,0.121164825108764,0.74163535424564,0.0700463507820301,0.696085075876608,0.0500733935146,-0.381231647867508,0.429781198183349,0.899712711370943,0.218432929244464,1.02470065695557,0.385131264883474,1.34659061756635,24.4724483411068,1.1332660663248,8.13142278306544
"10","same: Gender",0.0405224304326105,0.160440601415397,0.184494385966014,0.144026506927264,0.166637409104043,0.0773883034108214,0.0397008582722416,0.0469430047126489,0.221096393698714,0.120621531729749,0.0255100395416613,0.104465880770841,0.0650267556216819,0.0723378557887528,-0.192587732483903,0.0573614366120165,-0.117223149774089,0.0453854149023816,-0.304146840574014,0.0926058264653263,0.685166868590249,0.128151716903455,-0.154193191899972,0.155398285174335,0.352833809571216,33.2327315104678,-0.317187562860245,2.10374866596995
"7","diff: Seniority",0.201058041911586,0.0487690349273188,-0.131784912532926,0.0330432030294647,-0.0946831151919168,0.0277645023253791,-0.0440945753371357,0.0207667386881781,-0.0508240565495826,0.052630084169073,-0.00435947356579144,0.0571621035041013,0.00861342775931767,0.0652341948604503,-0.0445240544719592,0.00768601331322236,-0.0293059793764286,0.00654110226948857,0.0347028915554305,0.0168464900070013,-0.089686961958733,0.0289321869657997,-0.104149828648534,0.061812839571583,0.0521902344882123,5.06136073042904,-0.134752168740118,1.94103318460181
"6","diff: Left-Right",-1.17365880964136,0.182098660292511,-1.37129640020226,0.118886958600536,-1.46748671050564,0.0918691309512138,-1.32071285994324,0.0522625076886982,-1.08705747259305,0.180024879557537,-1.52840065009935,0.197215636844512,-1.39465287968434,0.148229864089427,-2.79721619919615,0.148881692795066,-2.44385803267154,0.0778922450917481,-2.43259826743171,0.308335341689626,-3.18844274742208,0.152822226654195,-2.9561134223657,0.933767015858158,-1.45966129425597,72.5568814265452,-1.60686206160548,9.48817237066561
"3","Both Conservatives",1.24096295140394,0.166376277903764,1.72534579956455,0.0694898182845048,1.3613499552522,0.0540637562615151,1.25190231665461,0.0352866264258506,1.21652920226305,0.115194000024885,1.36931399371213,0.162395559076654,1.99381923787488,0.119989661228105,0.448000105984157,0.0413325006790943,0.490705599436181,0.0312828958517585,0.355665542503863,0.0868768914178309,1.39321592277566,0.138559647454087,1.1941062244034,0.478205078312106,1.70288161408975,37.7871565016471,3.5761126972418,3.86743563999836
"1","Both Centrists",1.65869399354445,0.128488548693536,1.33937429586607,0.0845685227847493,0.457359036103824,0.0916714934784914,0.833148303375311,0.071927949127349,2.27417918610715,0.216442877946213,1.92698791319333,0.46587715163529,2.34073912675729,0.205350434343158,1.6326967874384,0.0360441274543547,1.50510663120205,0.0278401155440467,1.11510993919205,0.0685343319933117,1.82678612030017,0.09830893086179,1.96384246115367,4.82544160943587,1.34450275169118,141.936513528369,4.9313329827826,26893.5727332192
"4","Both Radicals",1.41259894153955,0.31755552664392,0.0223932934122191,0.456438248162996,0.446659934382535,0.250296728266333,0.914508550096736,0.145924577201538,1.75819249352392,0.305000139106314,2.69811696515307,0.936998593553184,3.40872676094272,0.558990262950945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14218402495781,328087.741484824
"5","Both Socialists",2.05601952890701,0.150677317773532,1.4372047695661,0.100997649344724,0.970049528163838,0.067418451269532,1.04167173347978,0.0477227258101262,2.00091332664821,0.149694997175513,1.61950193233172,0.210863637601594,2.33868359828736,0.10077583297147,-0.195511412993635,0.175203383298051,-1.8538354276836,0.307997264903093,1.96406670542965,0.248905350776048,-1.4863343695417,0.144247521090857,0.600940315006113,1.0088395442122,0.879667276546211,60.5239599372672,1.81348644918876,12.8136234096409
"2","Both Communists",4.95229750833539,0.183173584341488,3.78768316548658,0.243006284038914,3.56501922204623,0.133309333208914,2.94154204728339,0.0873781524994927,3.10653999834942,0.592546288341953,3.23689527959017,0.401677628317168,3.41235023881953,0.392839488203718,NA,NA,-0.413092863316103,0.202928679799573,NA,NA,0.455743161056144,0.46048485519708,2.07017511056689,8.35674894662495,4.97858980610183,199.425934487253,5.09936549833811,569300.895264484
