"","B","SE8","SE","SE9","SE","SE10","SE","SE11","SE","SE12","SE","SE13","SE","SE14","SE","AN8","SE","AN9","SE","AN10","SE","AN11","SE","AN12","SE","AN13","SE","AN14","SE"
"8","Edges",-5.71232174979047,0.22938832276467,-4.91593115420657,0.102123818680387,-4.49467924503273,0.0918370682968834,-3.92632975319091,0.0667448611477019,-3.8945247660629,0.347837215534817,-3.99931655216867,0.38813161543581,-4.58498318774597,0.0826866495849835,-3.45042882952845,0.0698778260131172,-2.74120360118028,0.0503912816525117,-4.92332685200668,0.0971045429990687,-3.9425446860901,0.0787102451102282,-2.54278466567852,5.17456250785959,-3.33831647601401,0.416654759545756,-4.50316665747792,1.89318769893846
"9","Reciprocity",1.29096144385151,0.227748408907942,1.37385367443084,0.123793338851314,1.12156176439375,0.11949161658436,1.34658135017393,0.0815459766562672,1.91221903080626,0.598944342280629,1.88243734541417,0.630228054894959,1.28176859836245,0.133929954762197,0.713741051013291,0.0747225552639292,0.634322615778084,0.0613217080555733,-0.251432666333991,0.461660849055685,0.909137027670459,0.092024888311348,1.44455196550258,4.42621545835047,0.772972882879827,0.239690767457602,1.1791597419145,3.04151190160458
"10","same: Gender",0.0133957098687021,0.200771959050657,0.207083656070437,0.0863095333418245,0.192923077115547,0.0843009221099253,0.049976274465376,0.0715550115082219,0.174145771866802,0.30013606550418,0.0431595355901603,0.463986878009492,0.0959528284658549,0.0545116876858697,-0.171630815085263,0.0638721896113572,-0.0951151230751194,0.0461421868299974,-0.353504668102629,0.0890559700430183,0.775803971655675,0.0855911179502377,-0.133358369378707,4.15574729552538,0.303682062554863,0.325568978261297,0.31279425831872,1.38284346691574
"7","diff: Seniority",0.170771213888869,0.0530381002451184,-0.161929752370729,0.0308886531204736,-0.0959142597934738,0.0291411320867144,-0.0516404609589045,0.0196211761066952,-0.0186743456126902,0.16377288582185,-0.00918295062596316,0.219533804648155,-0.00612175102003272,0.0400073182251949,-0.0412918045960091,0.008626973785484,-0.0288577143661106,0.00593544636759676,0.0388891001852177,0.016614298208291,-0.0954889194695214,0.0164197120594885,-0.0596545546826335,0.626962049561377,-0.130427984530549,0.0429451195218636,-0.0766608556419575,0.685003303742223
"6","diff: Left-Right",-1.11240064256468,0.200961778228522,-1.45941812960193,0.115597922963783,-1.45285663054897,0.0844683077109015,-1.33657886766385,0.0683434159104719,-1.16452139200497,0.447936912995655,-1.39284818576379,0.44319460668497,-1.30972297390724,0.141129752533893,-2.85328628378101,0.17545741672723,-2.52797183920757,0.0874893394247043,-2.60096130908498,0.333783666480033,-3.27574907856966,0.122111744398612,-3.15614312849668,7.73788126054825,-1.45995598017288,0.253039165908585,-1.27640121924359,2.27611909106197
"3","Both Conservatives",1.25547306643724,0.16951871189446,1.77950193488923,0.0695659762491474,1.3660104065239,0.0482910250702853,1.26999494615258,0.0529733324989363,1.25803958226555,0.219721682879819,1.53016908927205,0.417154921094057,2.15396294235161,0.0748618525002982,0.477648033318994,0.0554784808867202,0.500231968562957,0.0359834955737114,0.363629368418507,0.0882763467515326,1.45235253489593,0.0508837455396146,0.932442138803322,1.08496320542135,1.62841444412663,0.331726660753413,2.943416509451,1.58954389243098
"1","Both Centrists",1.81051438114338,0.142031585651182,1.4195678372877,0.0840273247467894,0.468511597253218,0.0986775991005515,0.897209587774737,0.0885486039965844,2.07677434175536,0.890403538596708,2.2656952970301,1.0646843267477,2.68972797988032,0.176427361939085,1.72434162836914,0.0397635392010957,1.51043997111399,0.0348274324993723,1.12006010348575,0.0710203286069506,1.90147700868933,0.0804214948858677,1.65672107402758,20.8408598748112,1.37251152531312,1.37133091882021,4.93293802469609,13.5739597023085
"4","Both Radicals",1.2130863546235,0.397585017306223,-0.155403661559098,0.400795814508768,0.494149912348857,0.238624789056991,0.749122268198388,0.188003956471041,1.10428253654256,1.5288416772212,2.34356297930187,1.44887380322034,3.8604436412911,0.831793516211336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21469080733754,6.34284755034712
"5","Both Socialists",2.0435210406001,0.164873735710846,1.55692222550074,0.0811864700190912,0.993259738685751,0.0795047283749974,1.06784276139641,0.0597906413051269,1.93390458742209,0.365512339307436,1.7623645554675,0.451505882084932,2.48982076420488,0.0666896613890526,-0.759390391440202,0.233334514567618,-2.19139116534001,0.330928887660816,-Inf,NA,-1.45609696907193,0.0746554325963289,0.145708931361523,6.21755737114799,1.52078111165688,0.358415795320944,1.86751846883276,1.09030176548047
"2","Both Communists",5.14933713149808,0.224957506565122,3.95370632315175,0.125632291405166,3.55717963287707,0.10008116376693,2.68664158526216,0.141625417205008,2.89254788149326,1.47016137352316,2.16151790629109,1.5802672471019,3.41858753453663,0.248104069195569,NA,NA,-Inf,NA,NA,NA,0.509149164020786,0.1442095890813,2.19876892136971,234.389513411301,2.67175319017772,2.89279403520521,3.08569639525986,17.0121945164122
