"","B","SE8","SE","SE9","SE","SE10","SE","SE11","SE","SE12","SE","SE13","SE","SE14","SE","AN8","SE","AN9","SE","AN10","SE","AN11","SE","AN12","SE","AN13","SE","AN14","SE"
"1","Edges",-5.64286154,0.25793543,-4.82675119,0.10114539,-4.47077035,0.07539955,-3.88917885,0.04866498,-3.85361419,0.09002342,-3.892963574,0.2055937,-4.38497581,0.13418384,-3.28401982,0.06507314,-2.65559212,0.050475483,-4.93846784,0.09459579,-3.88621853,0.13785929,-2.72875036,0.32059368,-3.0679148,0.6133834,-3.9613795,0.11791521
"2","Reciprocity",1.26629805,0.20228013,1.39827629,0.09099316,1.1479832,0.09838132,1.35603514,0.05568999,1.64972731,0.05923972,1.859268957,0.4507593,1.37224948,0.18488736,0.70180266,0.06550692,0.67637429,0.05008996,-0.28110774,0.45937687,0.956282,0.16271955,0.73720521,0.23111016,0.9599557,0.5394179,1.1224256,0.0678928
"3","same: Gender",0.06814562,0.23919469,0.19313898,0.08260343,0.18229886,0.06900496,0.0436939,0.0417,0.26357842,0.07778899,-0.008281423,0.3262608,0.05607935,0.07762523,-0.20000347,0.06577102,-0.12476784,0.044007861,-0.31238435,0.09153646,0.83076852,0.12289199,0.07174164,0.1938319,-0.1303781,0.3987017,-0.0268479,0.04509372
"4","diff: Seniority",0.20080124,0.04549016,-0.15022016,0.02998838,-0.08661844,0.02700438,-0.04385937,0.01810025,-0.05424195,0.0314344,0.042970175,0.1819125,-0.04602799,0.06061498,-0.04576213,0.00780279,-0.02969312,0.007448275,0.03626255,0.01779337,-0.09604731,0.016117,-0.06624824,0.06420308,-0.053546,0.1091742,-0.1521764,0.01733887
"5","diff: Left-Right",-1.16832034,0.18842127,-1.38086,0.0976934,-1.47397866,0.08150596,-1.3229626,0.06199037,-1.12819816,0.10473054,-1.453015712,0.4480847,-1.55265711,0.21927967,-2.92696459,0.13289002,-2.50061591,0.077081904,-2.5095614,0.29877854,-3.24760613,0.16575338,-3.12732092,0.58330342,-1.3746733,0.8149409,-1.7068529,0.16558717
"6","Both FN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15527363,0.10072105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Both Conservatives",1.2553289,0.1655118,1.76774849,0.06220781,1.36409022,0.0552523,1.26365819,0.03462787,1.14054317,0.08521177,1.361728552,0.2257933,1.94388,0.1536999,0.41865828,0.04601549,0.4740473,0.043041633,0.3638813,0.08546695,1.36918593,0.06329577,1.12466144,0.29294048,1.6779917,0.5705388,3.2486162,0.1047071
"8","Both Centrists",1.65518522,0.1303613,1.35841892,0.07897775,0.45301923,0.09533516,0.85548378,0.07056248,2.18936663,0.19171791,2.443060157,0.9933227,2.58672836,0.3318144,1.6433803,0.03797927,1.50310455,0.035196062,1.1235023,0.07116931,1.92157932,0.0784206,2.12874049,1.04705055,1.1301229,1.6442303,4.4455975,0.66763684
"9","Both Radicals",1.20470253,0.38372022,-0.09285084,0.39600481,0.48221577,0.24937889,0.82919006,0.14922486,1.36986066,0.34508571,2.101229315,1.7147087,2.79968697,0.47173081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7382934,1.46113078
"10","Both Socialists",2.05694397,0.14901329,1.47494959,0.0849236,0.97254201,0.0828994,1.02624859,0.05220154,1.91793066,0.098155,1.648201175,0.269791,2.41653152,0.1345876,-0.38403644,0.15681589,-2.08730152,0.372643927,1.42624105,0.29072412,-1.58773892,0.08888875,0.50968633,0.34450872,1.8481334,0.5926773,1.7584107,0.09181673
"11","Both Communists",5.04217197,0.19661164,4.00233331,0.12128915,3.63640496,0.11155158,2.90236422,0.0866565,2.78512105,0.32846683,2.290471711,2.9665519,3.24870629,0.54751684,NA,NA,-0.396938,0.229255396,NA,NA,0.51205495,0.37345126,2.80988092,1.46166926,5.185334,20.4061099,4.9963314,1.03594223
"12","Both Greens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.994557366,2.8878634,3.61972509,1.8168192,NA,NA,NA,NA,NA,NA,1.63541652,0.33791843,NA,NA,NA,NA,4.0352751,0.69097603
"13","BIC (full model)",5912.20382323182,NA,20462.6194683792,NA,23733.7445230973,NA,46732.520592834,NA,57611.8028063774,NA,84553.7175258342,NA,55852.9533667797,NA,38863.5808533872,NA,49843.7706726292,NA,12690.0598082727,NA,67604.7289363253,NA,187624.980008854,NA,212203.448298387,NA,120567.742174215,NA
"14","BIC (baseline)",6850.75428951297,NA,22173.3450554349,NA,25258.4429470577,NA,49020.7309691177,NA,62470.7646439195,NA,91492.6550021128,NA,62226.4809784412,NA,41493.1993508425,NA,53487.2679296929,NA,12930.2099611595,NA,79596.348332245,NA,192496.676483144,NA,220819.300621594,NA,143726.013940141,NA
