"","B","SE8","SE","SE9","SE","SE10","SE","SE11","SE","SE12","SE","SE13","SE","SE14","SE","AN8","SE","AN9","SE","AN10","SE","AN11","SE","AN12","SE","AN13","SE","AN14","SE"
"8","Edges",-5.696115528951,0.185816704850858,-4.85664760450935,0.104213892362386,-4.39687556030019,0.0837007350129325,-3.82592671275197,0.0554462126761215,-3.90067787697887,0.268922338786698,-3.7090917913403,0.96171058285391,-4.5021911328035,0.200728409884606,-3.26712852825285,0.0634742970267755,-2.58904715077174,0.0455589469178935,-4.9384678430705,0.0945957899029257,-3.79240015906177,0.0647859238998657,-2.65211716195767,1.03401706503447,-3.03655022749783,1.22004453692701,-3.75973531527075,0.295020696591213
"9","Reciprocity",1.25366762258038,0.230497974167254,1.41367436042574,0.111439176641929,1.11970409221631,0.110142741069426,1.36320234983436,0.0807238879615104,1.57159867791583,0.193469043170238,1.80549583010257,2.34332909482855,1.55383661825944,0.190628028099929,0.715355745833856,0.0656989542953433,0.675672888923317,0.0403525793104807,-0.281107740372648,0.459376871954137,0.956199615644748,0.0846722962957722,0.469170905238546,0.669150482606854,1.32992169725644,0.805224703242707,1.12642112835166,0.231870119682505
"10","same: Gender",0.0790940887344794,0.165129853223492,0.228223080011344,0.0827945075154263,0.126933840693801,0.078230428445547,0.0696496754613418,0.0475151883966689,0.291790119243384,0.212153849147832,-0.113690761965061,0.449573628820948,0.0350582261772227,0.186400149588351,-0.203812801258276,0.0670371414055565,-0.153353606602494,0.0387596109608962,-0.312384351610735,0.0915364550772502,0.736914497331057,0.0780030992480303,0.167309683454306,0.556722073307886,-0.499567436743807,1.07810163631059,-0.00578250737193028,0.19438232435882
"7","diff: Seniority",0.256700536524004,0.0443264393642413,-0.150253348863845,0.029402363504063,-0.106189378003735,0.032657658593796,-0.0512562307118166,0.0202527259687137,-0.0859699916844528,0.0967884436557848,-0.0356616607164043,0.620423162933139,-0.00583803684281428,0.0638838424820567,-0.0463891269707153,0.0086565480414136,-0.0299372404338966,0.00620118665297375,0.0362625468653593,0.0177933671272684,-0.0818288027260873,0.0148065538652222,-0.131112737173189,0.177149876005634,-0.0644537865808379,0.149880811896226,-0.15420067804246,0.0501299585946441
"6","diff: Left-Right",-1.18570733786261,0.187121305625546,-1.37441770936193,0.10091710442487,-1.49056228466113,0.0869581585073991,-1.39401130649174,0.0596246689760736,-1.03092639429547,0.258927660813317,-1.33603657778049,1.7840155596728,-1.37514412766893,0.28426163185403,-2.93992802463405,0.158965118311831,-2.49890148391131,0.0803717593672107,-2.50956140100064,0.298778536528108,-3.41085753992028,0.212503285182772,-3.4532952874145,1.82438057849749,-1.78884598886636,1.27067276033871,-2.0956200101362,0.558531009486745
"3","Both Conservatives",1.24598294005535,0.152912016257182,1.78140391540348,0.0694284757084003,1.37872287048729,0.049167220116012,1.1865896463928,0.0435909587174099,1.23433666302532,0.242596995896515,1.40357139924522,1.10707808942201,2.07400560353482,0.200673985549068,0.40362511047917,0.0434215622891325,0.433329849004515,0.0408067575768257,0.363881302715791,0.0854669455794914,1.32674448388421,0.110703383904846,0.984673828162903,0.649343859225475,2.00727001987658,1.13660381718597,3.0904328624639,0.356546703985423
"1","Both Centrists",1.65363636122942,0.126161173604381,1.34720464067095,0.0745881722711415,0.45888544617449,0.0914204451651124,0.843677104030765,0.0930939971479939,2.15093537527345,0.404022318615109,1.82600744178698,2.9465903992763,3.11178085202485,0.155501483830417,1.63300710566422,0.037514422955419,1.48882841037833,0.0326418916170676,1.12350229579038,0.0711693131501629,1.99260065649856,0.126781164709977,1.64949650167028,5.52658275790113,1.98495232904876,5.17833802788363,4.03983461355907,1.24024114849939
"4","Both Radicals",1.16777321829877,0.380956444509256,-0.103360180717362,0.375550177163187,0.456404687851033,0.247834691931537,0.808424459038307,0.152763026920792,1.89923476830668,0.792019292694886,1.645447813194,3.02289780400327,2.86367086347128,1.14623590829841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.96741752821909,2.51630092449421
"5","Both Socialists",2.18445686273402,0.145808254783763,1.48520288409683,0.0882366928175376,1.02425541310081,0.0725704613119742,0.956203204499092,0.0641215680104057,1.90070278829011,0.307373729378216,1.82346074729263,1.22565205698552,2.52340032556042,0.201767158671421,-0.399686394248012,0.172937510354041,-2.16122369321261,0.360172486987815,1.42624105348583,0.290724120374951,-1.62725749542186,0.0841213255368855,0.603091680871944,0.920461232317052,1.7347336161678,1.31055392289213,1.57535494044936,0.197978218174678
"2","Both Communists",5.02615287257816,0.170574648219702,3.9949915031063,0.138237366648808,3.63936092805286,0.155663242735625,2.82243402625007,0.0932517364718415,2.64146829106143,1.35900169594744,3.03857074195239,4.10494105155193,3.54780769379193,1.03819516683198,NA,NA,-0.447587816277772,0.249946628283116,NA,NA,0.196494850567406,0.249176882972355,3.7749235122425,6.56686565389841,3.55212310546121,12.4150577233497,4.29448334068752,5.06306046491839
