"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"LADISLAS PONIATOWSKI",132,"LADISLAS PONIATOWSKI",11.4891252930761,"RENE BEAUMONT",1,"DENIS BADRE",1
2,"JEAN PIERRE BEL",121,"JEAN PIERRE BEL",11,"ADELINE GOUSSEAU",1,"FRANCOISE FERAT",1
3,"GERARD CESAR",101,"GERARD CESAR",10.0498756211209,"ADRIEN GIRAUD",1,"JEAN LUC MELENCHON",1
4,"HUGUES PORTELLI",100,"HUGUES PORTELLI",10,"ADRIEN GOUTEYRON",1,"JEAN MARIE VANLERENBERGHE",1
5,"ADRIEN GOUTEYRON",99,"ADRIEN GOUTEYRON",9.9498743710662,"ALAIN DUFAUT",1,"JEAN PAUL EMORINE",1
6,"JEAN PIERRE SUEUR",99,"JEAN PIERRE SUEUR",9.9498743710662,"ALAIN FOUCHE",1,"JEAN PIERRE CANTEGRIT",1
7,"JEAN LOUIS MASSON",90,"JEAN LOUIS MASSON",9.48683298050514,"ALAIN GOURNAC",1,"JOEL BOURDIN",1
8,"JEAN PIERRE RAFFARIN",90,"JEAN PIERRE RAFFARIN",9.48683298050514,"ALAIN LAMBERT",1,"MARCEL DENEUX",1
9,"PAUL BLANC",90,"PAUL BLANC",9.48683298050514,"ALAIN MILON",1,"MAURICE BLIN",1
10,"MICHEL HOUEL",89,"MICHEL HOUEL",9.4339811320566,"ALAIN VASSELLE",1,"MICHEL DREYFUS SCHMIDT",1
11,"ROLAND COURTEAU",81,"ROLAND COURTEAU",9,"ALIMA BOUMEDIENE THIERY",1,"NATHALIE GOULET",1
12,"CATHERINE PROCACCIA",79,"CATHERINE PROCACCIA",8.88819441731559,"AMBROISE DUPONT",1,"PAUL RAOULT",1
13,"MONIQUE CERISIER BEN GUIGA",79,"MONIQUE CERISIER BEN GUIGA",8.88819441731559,"ANDRE LARDEUX",1,"ROBERT LAUFOAULU",1
14,"ALAIN GOURNAC",78,"ALAIN GOURNAC",8.83176086632785,"ANNE MARIE PAYET",1,"YVES POZZO DI BORGO",1
15,"NICOLE BRICQ",72,"NICOLE BRICQ",8.48528137423857,"ANNIE DAVID",1,"ADRIEN GIRAUD",0.707106781186548
16,"DIDIER GUILLAUME",63,"DIDIER GUILLAUME",7.93725393319377,"AYMERI MONTESQUIOU",1,"BRUNO RETAILLEAU",0.707106781186548
17,"JEAN CLAUDE CARLE",62,"JEAN CLAUDE CARLE",7.87400787401181,"BARIZA KHIARI",1,"JACQUES MAHEAS",0.707106781186548
18,"FRANCOIS REBSAMEN",59,"FRANCOIS REBSAMEN",7.68114574786861,"BERNADETTE DUPONT",1,"JANINE ROZIER",0.707106781186548
19,"CHARLES REVET",57,"CHARLES REVET",7.54983443527075,"BERNARD ANGELS",1,"JEAN MARC JUILHARD",0.707106781186548
20,"RICHARD YUNG",57,"RICHARD YUNG",7.54983443527075,"BERNARD CAZEAU",1,"LOUIS CONSTANT FLEMING",0.707106781186548
21,"FRANCOIS MARC",57,"FRANCOIS MARC",7.54983443527075,"BERNARD DUSSAUT",1,"MICHEL TESTON",0.707106781186548
22,"BARIZA KHIARI",56,"BARIZA KHIARI",7.48331477354788,"BERNARD FRIMAT",1,"MONIQUE PAPON",0.707106781186548
23,"GERARD COLLOMB",54,"GERARD COLLOMB",7.34846922834953,"BERNARD MURAT",1,"PHILIPPE NOGRIX",0.707106781186548
24,"SYLVIE GOY CHAVENT",54,"SYLVIE GOY CHAVENT",7.34846922834953,"BERNARD SEILLIER",1,"PIERRE ANDRE",0.707106781186548
25,"FRANCOIS NOEL BUFFET",51,"FRANCOIS NOEL BUFFET",7.14142842854285,"BERNARD VERA",1,"PIERRE JARLIER",0.707106781186548
26,"MICHEL CHARASSE",51,"MICHEL CHARASSE",7.14142842854285,"BERTRAND AUBAN",1,"ROLAND LUART",0.707106781186548
27,"CHRISTIAN CAMBON",50,"CHRISTIAN CAMBON",7.07106781186548,"BRUNO GILLES",1,"SERGE LARCHER",0.707106781186548
28,"FRANCOIS PATRIAT",47,"FRANCOIS PATRIAT",6.85565460040104,"BRUNO RETAILLEAU",1,"CHRISTIAN DEMUYNCK",0.577350269189626
29,"JEAN CLAUDE ETIENNE",46,"JEAN CLAUDE ETIENNE",6.78232998312527,"BRUNO SIDO",1,"CHRISTIANE KAMMERMANN",0.577350269189626
30,"JEAN PIERRE GODEFROY",46,"JEAN PIERRE GODEFROY",6.78232998312527,"CATHERINE MORIN DESAILLY",1,"CLAUDE LISE",0.577350269189626
31,"RAYMOND COUDERC",44,"RAYMOND COUDERC",6.6332495807108,"CATHERINE PROCACCIA",1,"DANIEL MARSIN",0.577350269189626
32,"ROLAND RIES",44,"ROLAND RIES",6.6332495807108,"CATHERINE TROENDLE",1,"GEORGES OTHILY",0.577350269189626
33,"CLAUDE DOMEIZEL",43,"CLAUDE DOMEIZEL",6.557438524302,"CHARLES GAUTIER",1,"JEAN FRANCOIS VOGUET",0.577350269189626
34,"DANIEL RAOUL",43,"DANIEL RAOUL",6.557438524302,"CHARLES GUENE",1,"MARIE FRANCE BEAUFILS",0.577350269189626
35,"THIERRY REPENTIN",43,"THIERRY REPENTIN",6.557438524302,"CHARLES JOSSELIN",1,"MICHEL DOUBLET",0.577350269189626
36,"JACQUES BLANC",42,"JACQUES BLANC",6.48074069840786,"CHARLES REVET",1,"PHILIPPE DOMINATI",0.577350269189626
37,"MARTIAL BOURQUIN",42,"MARTIAL BOURQUIN",6.48074069840786,"CHRISTIAN COINTAT",1,"PIERRE MARTIN",0.577350269189626
38,"JEAN CLAUDE PEYRONNET",41,"JEAN CLAUDE PEYRONNET",6.40312423743285,"CHRISTIAN DEMUYNCK",1,"ROBERT BRET",0.577350269189626
39,"JEAN PIERRE MICHEL",41,"JEAN PIERRE MICHEL",6.40312423743285,"CHRISTIANE DEMONTES",1,"ADELINE GOUSSEAU",0.5
40,"BRUNO GILLES",40,"BRUNO GILLES",6.32455532033676,"CHRISTIANE KAMMERMANN",1,"ALAIN LAMBERT",0.5
41,"JEAN PAUL ALDUY",39,"JEAN PAUL ALDUY",6.2449979983984,"CLAIRE LISE CAMPION",1,"CATHERINE MORIN DESAILLY",0.5
42,"LOUIS BROISSIA",38,"LOUIS BROISSIA",6.16441400296898,"CLAUDE BIWER",1,"DOMINIQUE VOYNET",0.5
43,"JACQUELINE PANIS",36,"JACQUELINE PANIS",6,"CLAUDE DOMEIZEL",1,"GERARD LONGUET",0.5
44,"JEAN ARTHUIS",36,"JEAN ARTHUIS",6,"CLAUDE HAUT",1,"GISELE GAUTIER",0.5
45,"ALIMA BOUMEDIENE THIERY",35,"ALIMA BOUMEDIENE THIERY",5.91607978309962,"CLAUDE LISE",1,"JACQUES VALADE",0.5
46,"BERNARD CAZEAU",31,"BERNARD CAZEAU",5.56776436283002,"DANIEL MARSIN",1,"PHILIPPE DARNICHE",0.5
47,"PATRICIA SCHILLINGER",31,"PATRICIA SCHILLINGER",5.56776436283002,"DANIEL PERCHERON",1,"SIMON SUTOUR",0.5
48,"RAYMONDE TEXIER",31,"RAYMONDE TEXIER",5.56776436283002,"DANIEL RAOUL",1,"YVES COQUELLE",0.5
49,"ALAIN DUFAUT",30,"ALAIN DUFAUT",5.47722557505166,"DANIEL REINER",1,"YVES FREVILLE",0.5
50,"BRUNO SIDO",30,"BRUNO SIDO",5.47722557505166,"DANIEL SOULAGE",1,"COLETTE MELOT",0.5
51,"MICHEL MERCIER",30,"MICHEL MERCIER",5.47722557505166,"DAVID ASSOULINE",1,"IVAN RENAR",0.5
