"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"ISABELLE DEBRE",90,"ISABELLE DEBRE",9.48683298050514,"CLAUDE LISE",1,"BERNADETTE BOURZAI",1
2,"BRUNO RETAILLEAU",86,"BRUNO RETAILLEAU",9.2736184954957,"GEORGES PATIENT",1,"DOMINIQUE BRAYE",1
3,"ALAIN NERI",85,"ALAIN NERI",9.21954445729289,"JEAN PIERRE MICHEL",1,"JACQUES BERTHOU",1
4,"JEAN PIERRE GODEFROY",77,"JEAN PIERRE GODEFROY",8.77496438739212,"PHILIPPE RICHERT",1,"JEAN CLAUDE PEYRONNET",1
5,"PATRICE GELARD",61,"PATRICE GELARD",7.81024967590665,"ALAIN GOURNAC",1,"MARC DAUNIS",1
6,"COLETTE GIUDICELLI",57,"COLETTE GIUDICELLI",7.54983443527075,"ALAIN NERI",1,"MICHEL SERGENT",1
7,"PIERRE BERNARD REYMOND",51,"PIERRE BERNARD REYMOND",7.14142842854285,"ALAIN VASSELLE",1,"NICOLAS ABOUT",1
8,"JEAN PIERRE LELEUX",49,"JEAN PIERRE LELEUX",7,"ANDRE VANTOMME",1,"RENE BEAUMONT",1
9,"HERVE MAUREY",42,"HERVE MAUREY",6.48074069840786,"ANNE MARIE PAYET",1,"ALAIN GOURNAC",0.707106781186548
10,"PHILIPPE RICHERT",40,"PHILIPPE RICHERT",6.32455532033676,"ANNIE DAVID",1,"BERNARD VERA",0.707106781186548
11,"ROBERT NAVARRO",33,"ROBERT NAVARRO",5.74456264653803,"BERNADETTE BOURZAI",1,"DANIEL DUBOIS",0.707106781186548
12,"CHRISTIANE HUMMEL",27,"CHRISTIANE HUMMEL",5.19615242270663,"BERNARD VERA",1,"FABIENNE KELLER",0.707106781186548
13,"ANDRE VANTOMME",25,"ANDRE VANTOMME",5,"BRIGITTE GONTHIER MAURIN",1,"MAURICE ANTISTE",0.707106781186548
14,"SYLVIE GOY CHAVENT",25,"SYLVIE GOY CHAVENT",5,"BRUNO RETAILLEAU",1,"MUGUETTE DINI",0.707106781186548
15,"DOMINIQUE LEGGE",23,"DOMINIQUE LEGGE",4.79583152331272,"CAROLINE CAYEUX",1,"PHILIPPE ADNOT",0.707106781186548
16,"ANNIE DAVID",22,"ANNIE DAVID",4.69041575982343,"CECILE CUKIERMAN",1,"PHILIPPE DOMINATI",0.707106781186548
17,"CAROLINE CAYEUX",22,"CAROLINE CAYEUX",4.69041575982343,"CHANTAL JOUANNO",1,"RAYMOND VALL",0.707106781186548
18,"NICOLE BORVO COHEN SEAT",22,"NICOLE BORVO COHEN SEAT",4.69041575982343,"CHRISTIANE DEMONTES",1,"ROLAND LUART",0.707106781186548
19,"BRIGITTE GONTHIER MAURIN",20,"BRIGITTE GONTHIER MAURIN",4.47213595499958,"CHRISTIANE HUMMEL",1,"FRANCOIS REBSAMEN",0.577350269189626
20,"CECILE CUKIERMAN",20,"CECILE CUKIERMAN",4.47213595499958,"CLAUDE JEANNEROT",1,"JEAN BIZET",0.577350269189626
21,"DOMINIQUE WATRIN",20,"DOMINIQUE WATRIN",4.47213595499958,"CLAUDINE LEPAGE",1,"JEAN FRANCOIS VOGUET",0.577350269189626
22,"ELIANE ASSASSI",20,"ELIANE ASSASSI",4.47213595499958,"COLETTE GIUDICELLI",1,"MICHELLE DEMESSINE",0.577350269189626
23,"GUY FISCHER",20,"GUY FISCHER",4.47213595499958,"COLETTE MELOT",1,"YANNICK BODIN",0.577350269189626
24,"ISABELLE PASQUET",20,"ISABELLE PASQUET",4.47213595499958,"DANIEL DUBOIS",1,"CHANTAL JOUANNO",0.5
25,"LAURENCE COHEN",20,"LAURENCE COHEN",4.47213595499958,"DANIEL RAOUL",1,"CLAUDINE LEPAGE",0.5
26,"MIREILLE SCHURCH",20,"MIREILLE SCHURCH",4.47213595499958,"DIDIER GUILLAUME",1,"COLETTE MELOT",0.5
27,"THIERRY FOUCAUD",20,"THIERRY FOUCAUD",4.47213595499958,"DOMINIQUE BRAYE",1,"DIDIER GUILLAUME",0.5
28,"JACQUES MEZARD",18,"JACQUES MEZARD",4.24264068711928,"DOMINIQUE LEGGE",1,"DOMINIQUE VOYNET",0.5
29,"DANIEL RAOUL",17,"DANIEL RAOUL",4.12310562561766,"DOMINIQUE VOYNET",1,"EVELYNE DIDIER",0.5
30,"ALAIN VASSELLE",15,"ALAIN VASSELLE",3.87298334620742,"DOMINIQUE WATRIN",1,"JACQUES MULLER",0.5
31,"SOPHIE JOISSAINS",15,"SOPHIE JOISSAINS",3.87298334620742,"ELIANE ASSASSI",1,"JEAN DESESSARD",0.5
32,"VALERIE LETARD",15,"VALERIE LETARD",3.87298334620742,"ESTHER BENBASSA",1,"JOEL GUERRIAU",0.5
33,"PIERRE JARLIER",13,"PIERRE JARLIER",3.60555127546399,"EVELYNE DIDIER",1,"MARIE CHRISTINE BLANDIN",0.5
34,"FRANCOISE FERAT",13,"FRANCOISE FERAT",3.60555127546399,"FABIENNE KELLER",1,"ROBERT TROPEANO",0.5
35,"JACQUELINE GOURAULT",12,"JACQUELINE GOURAULT",3.46410161513775,"FRANCOIS PATRIAT",1,"CLAUDE LISE",0.447213595499958
36,"THIERRY REPENTIN",12,"THIERRY REPENTIN",3.46410161513775,"FRANCOIS REBSAMEN",1,"GEORGES PATIENT",0.447213595499958
37,"ESTHER BENBASSA",11,"ESTHER BENBASSA",3.3166247903554,"FRANCOIS VENDASI",1,"JEAN PIERRE MICHEL",0.447213595499958
38,"JOEL LABBE",11,"JOEL LABBE",3.3166247903554,"FRANCOISE LABORDE",1,"JACKY MENN",0.447213595499958
39,"RICHARD TUHEIAVA",11,"RICHARD TUHEIAVA",3.3166247903554,"GERARD CESAR",1,"JACQUES GILLOT",0.447213595499958
40,"SERGE LARCHER",11,"SERGE LARCHER",3.3166247903554,"GERARD COLLOMB",1,"JEAN ETIENNE ANTOINETTE",0.447213595499958
41,"XAVIER PINTAT",11,"XAVIER PINTAT",3.3166247903554,"GERARD ROCHE",1,"JEAN MARIE VANLERENBERGHE",0.447213595499958
42,"YVON COLLIN",11,"YVON COLLIN",3.3166247903554,"GUY FISCHER",1,"JEAN PIERRE SUEUR",0.447213595499958
43,"JEAN FRANCOIS GRAND",11,"JEAN FRANCOIS GRAND",3.3166247903554,"HENRI TANDONNET",1,"JEAN PAUL ALDUY",0.447213595499958
44,"CHRISTIANE DEMONTES",10,"CHRISTIANE DEMONTES",3.16227766016838,"HERVE MAUREY",1,"FRANCOIS VENDASI",0.408248290463863
45,"CLAUDE JEANNEROT",10,"CLAUDE JEANNEROT",3.16227766016838,"ISABELLE DEBRE",1,"FRANCOISE LABORDE",0.408248290463863
46,"FRANCOIS PATRIAT",10,"FRANCOIS PATRIAT",3.16227766016838,"ISABELLE PASQUET",1,"GERARD COLLOMB",0.408248290463863
47,"GERARD CESAR",10,"GERARD CESAR",3.16227766016838,"JACKY MENN",1,"HENRI TANDONNET",0.408248290463863
48,"JEAN LUC FICHET",10,"JEAN LUC FICHET",3.16227766016838,"JACQUELINE GOURAULT",1,"JACQUES BLANC",0.408248290463863
49,"MARYVONNE BLONDIN",10,"MARYVONNE BLONDIN",3.16227766016838,"JACQUES BERTHOU",1,"JEAN PIERRE VIAL",0.408248290463863
50,"YVES DETRAIGNE",10,"YVES DETRAIGNE",3.16227766016838,"JACQUES BLANC",1,"ODETTE HERVIAUX",0.408248290463863
51,"JEAN VINCENT PLACE",9,"JEAN VINCENT PLACE",3,"JACQUES GILLOT",1,"MICHEL HOUEL",0.408248290463863
52,"MARCEL DENEUX",9,"MARCEL DENEUX",3,"JACQUES MEZARD",1,"GERARD ROCHE",0.377964473009227
53,"CHARLES REVET",9,"CHARLES REVET",3,"JACQUES MULLER",1,"PAUL RAOULT",0.377964473009227
54,"ANNE MARIE PAYET",8,"ANNE MARIE PAYET",2.82842712474619,"JEAN BIZET",1,"ROLAND COURTEAU",0.377964473009227
55,"JEAN JACQUES MIRASSOU",8,"JEAN JACQUES MIRASSOU",2.82842712474619,"JEAN CLAUDE PEYRONNET",1,"ANNE MARIE PAYET",0.353553390593274
56,"SERGE ANDREONI",8,"SERGE ANDREONI",2.82842712474619,"JEAN DESESSARD",1,"JEAN JACQUES MIRASSOU",0.353553390593274
57,"GERARD ROCHE",7,"GERARD ROCHE",2.64575131106459,"JEAN ETIENNE ANTOINETTE",1,"SERGE ANDREONI",0.353553390593274
58,"PAUL RAOULT",7,"PAUL RAOULT",2.64575131106459,"JEAN FRANCOIS VOGUET",1,"JEAN VINCENT PLACE",0.333333333333333
59,"ROLAND COURTEAU",7,"ROLAND COURTEAU",2.64575131106459,"JEAN JACQUES MIRASSOU",1,"MARCEL DENEUX",0.333333333333333
60,"FRANCOIS VENDASI",6,"FRANCOIS VENDASI",2.44948974278318,"JEAN LUC FICHET",1,"CHARLES REVET",0.333333333333333
61,"FRANCOISE LABORDE",6,"FRANCOISE LABORDE",2.44948974278318,"JEAN MARIE VANLERENBERGHE",1,"CHRISTIANE DEMONTES",0.316227766016838
