"","1","2","3","4","5","togetherness"
"CEN",87,3,1,0,0,95.6
"COM",0,0,3,0,20,87
"DRO",59,2,0,99,0,61.9
"RAD",24,1,5,0,0,80
"SE",8,0,0,3,0,72.7
"SOC",0,0,82,0,0,100
