"","1","2","3","4","5","6","togetherness"
"CEN",2,1,43,4,0,0,86
"COM",0,1,0,0,34,2,91.9
"DRO",0,0,2,208,0,2,98.1
"ECO",0,1,0,0,11,0,91.7
"RAD",23,1,0,2,1,3,76.7
"SE",0,0,2,5,0,1,62.5
"SOC",0,129,0,0,0,46,73.7
