"","1","2","3","4","5","togetherness"
"CEN",0,1,112,0,4,95.7
"COM",0,1,0,35,0,97.2
"DRO",1,2,132,0,14,88.6
"ECO",30,0,0,2,0,93.8
"SE",1,1,3,0,0,60
"SOC",2,267,0,1,0,98.9
