"","1","2","3","4","togetherness"
"CEN",0,7,0,124,94.7
"COM",2,1,0,0,66.7
"DRO",0,29,0,122,80.8
"FN",0,4,27,3,79.4
"SE",0,1,0,6,85.7
"SOC",35,4,1,1,85.4
