"","1","2","3","4","5","togetherness"
"CEN",47,26,1,0,0,63.5
"COM",0,0,3,0,27,90
"DRO",173,21,0,2,0,88.3
"ECO",0,0,1,0,0,100
"RAD",18,1,9,1,1,60
"SE",10,0,0,3,0,76.9
"SOC",0,0,105,0,0,100
